username,date,retweets,favorites,text,mentions,hashtags,id,Compound_Score,Negative_Score,Positive_Score,Neutral_Score,Indicator,GT
styleglossy,10/20/2017 19:59,0,2,gonna watch happy death day later,,,9.21526e+17,-0.0516,0.336,0.319,0.345,NN,22
Tatyana_shante,10/20/2017 19:58,0,0,happy death day amazing,,,9.21526e+17,0.5574,0.315,0.605,0.081,PP,22
Kage062684,10/20/2017 19:57,0,0,happy death day trailer movieclips trailers via,@YouTube,#1,9.21526e+17,-0.0516,0.31,0.294,0.397,NN,22
_thaliax0,10/20/2017 19:57,1,15,wanna see happy death day everyone playing,,,9.21526e+17,0.1531,0.291,0.41,0.299,PP,22
nutylaraswaty,10/20/2017 19:53,0,0,yes guess right one mystery solved really nice love till end,,#lol #HappyDeathDay,9.21525e+17,0.9076,0.0,0.639,0.361,PP,22
LeosAMovieGuy,10/20/2017 19:53,0,0,happy death day lacking final result surprisingly read,,,9.21525e+17,0.25,0.264,0.399,0.338,PP,22
Optiluiz,10/20/2017 19:52,0,0,happy death day much,,,9.21525e+17,-0.0516,0.406,0.385,0.208,NN,22
Conor72_,10/20/2017 19:52,0,0,black room mate happy death day,,,9.21525e+17,-0.0516,0.336,0.319,0.345,NN,22
ballesterrrrr,10/20/2017 19:51,0,0,happy death day,,,9.21524e+17,-0.0516,0.453,0.43,0.116,NN,22
DemiGodWould,10/20/2017 19:47,1,0,going watch happy death day,,,9.21523e+17,-0.0516,0.368,0.349,0.283,NN,22
PrincessNivius,10/20/2017 19:47,0,1,enjoyed watching,@UniversalPics @Cinemark,#HappyDeathDay,9.21523e+17,0.5106,0.0,0.767,0.233,PP,22
TerrelleGraham,10/20/2017 19:45,1,1,video review happy death day,,#HappyDeathDay,9.21523e+17,-0.0516,0.368,0.349,0.283,NN,22
amybowbamie,10/20/2017 19:45,0,1,watching happy death day,,#trakt,9.21523e+17,-0.0516,0.406,0.385,0.208,NN,22
alecmasone,10/20/2017 19:44,0,1,happy death day better la la land,@TheAcademy,,9.21523e+17,0.4019,0.269,0.455,0.276,PP,22
escobarashleey,10/20/2017 19:44,0,0,cine tiene corriente quede con las ganas de ver happy death day,,,9.21523e+17,-0.0516,0.222,0.21,0.568,NN,22
Gwizzdom,10/20/2017 19:43,0,0,hoping stabby sort way,,#happydeathday #movie,9.21522e+17,0.4215,0.0,0.483,0.517,PP,22
