username,date,retweets,favorites,text,mentions,hashtags,id,Compound_Score,Negative_Score,Positive_Score,Neutral_Score,Indicator,GT
KatherineW1971,10/13/2017 19:59,0,1,currently,,,9.19e+17,0.0,0.0,0.0,1.0,NN,30
sebsbeanie,10/13/2017 19:59,0,1,one seen happy death day,,,9.19e+17,-0.0516,0.368,0.349,0.283,NN,30
marcosmejia_o4,10/13/2017 19:59,0,0,wants go see,,,9.19e+17,0.0,0.0,0.0,1.0,NN,30
mikellechloe_,10/13/2017 19:59,0,0,talk creepy people walking happy death day,,,9.19e+17,-0.0516,0.31,0.294,0.397,NN,30
HaydenPinafore,10/13/2017 19:59,1,8,happy death day good,,#HappyDeathDay,9.19e+17,0.4019,0.339,0.574,0.087,PP,30
j0shefina,10/13/2017 19:59,0,2,guess seeing happy death day alone today ticket gone waste,,,9.19e+17,-0.6124,0.473,0.201,0.326,Neg,30
Adjohnson_,10/13/2017 19:59,0,9,happy death day done honor horror genre month,,,9.19e+17,-0.1779,0.411,0.373,0.216,Neg,30
TinaPandaz,10/13/2017 19:58,0,0,watching happy death day friday,,,9.19e+17,-0.0516,0.368,0.349,0.283,NN,30
scottkelly1974,10/13/2017 19:58,0,0,happy death day movieguide movie reviews christians,,#,9.19e+17,-0.0516,0.31,0.294,0.397,NN,30
Purpin_Mama,10/13/2017 19:58,0,0,wait see happy death day,,,9.19e+17,-0.0516,0.368,0.349,0.283,NN,30
zoexswift,10/13/2017 19:58,0,0,whose killer happy death day love spoilers need know asap,,,9.19e+17,-0.0772,0.371,0.357,0.271,Neg,30
trent_croci,10/13/2017 19:58,1,3,yooooo happy death day must see funny good time,,,9.19e+17,0.6808,0.212,0.516,0.272,PP,30
ShutUpBitchh_,10/13/2017 19:58,0,0,happy death day pissed,,,9.19e+17,-0.6597,0.633,0.289,0.078,Neg,30
haileymichellee,10/13/2017 19:58,0,1,want see happy death day,,,9.19e+17,0.0258,0.358,0.459,0.183,NN,30
0ddoneout,10/13/2017 19:58,0,0,anybody go see happy death day,,,9.19e+17,-0.0516,0.336,0.319,0.345,NN,30
sameoldbrandon,10/13/2017 19:57,1,1,want see happy death day,,,9.19e+17,0.0258,0.358,0.459,0.183,NN,30
ZoeyAdair,10/13/2017 19:57,0,0,girl bae,@jessica_rothe,#HappyDeathDay,9.19e+17,0.0,0.0,0.0,1.0,NN,30
hunnybunnyyy,10/13/2017 19:57,0,0,bought ticket tonight see thinking,@UniversalHorror,#HappyDeathDay,9.19e+17,0.0,0.0,0.0,1.0,NN,30
troiansbeIIsrio,10/13/2017 19:57,0,5,saw happy death day w friends good,,,9.19e+17,0.7003,0.25,0.622,0.128,PP,30
mattwwe9,10/13/2017 19:57,0,0,liked video happy death day parody movie review,@YouTube,,9.19e+17,0.3818,0.253,0.422,0.325,PP,30
Ashley_Alldahyi,10/13/2017 19:57,0,0,since back home might go see happy death day,,,9.19e+17,-0.0516,0.267,0.253,0.479,NN,30
__selahrose,10/13/2017 19:56,0,0,happy death day,,,9.19e+17,-0.0516,0.453,0.43,0.116,NN,30
Steinmisr,10/13/2017 19:56,0,2,happy death day looks like kind horror movie actually want watch tbh,,,9.19e+17,0.3182,0.31,0.445,0.245,PP,30
heslovxto,10/13/2017 19:56,0,0,seeing happy death day tonight excited,,,9.19e+17,0.296,0.3,0.469,0.231,PP,30
theklashae,10/13/2017 19:56,0,0,happy death day reallyyyyyyyyyy good movie forreal,,,9.19e+17,0.4019,0.269,0.455,0.276,PP,30
kierstingale,10/13/2017 19:56,0,8,saw happy death day go,,,9.19e+17,-0.0516,0.368,0.349,0.283,NN,30
DoomDesire89,10/13/2017 19:56,0,0,spoiler,,#swerve,9.19e+17,0.0,0.0,0.0,1.0,NN,30
nothingbutabz,10/13/2017 19:56,0,1,apparently including saying happy death day,,,9.19e+17,-0.0516,0.336,0.319,0.345,NN,30
Franciscano_H,10/13/2017 19:56,0,0,caraca quem vai preferir esse happy death day tem tudo pra dar errado pra mim,,,9.19e+17,-0.0516,0.189,0.18,0.631,NN,30
shaqnosis1,10/13/2017 19:56,0,0,happy death day getting really good,,,9.19e+17,0.4576,0.283,0.5,0.218,PP,30
screentimex,10/13/2017 19:56,0,0,one better time loopers,,#HappyDeathDay #Review,9.19e+17,0.4404,0.0,0.492,0.508,PP,30
deelgee1210,10/13/2017 19:56,0,0,excited see happy death day,,,9.19e+17,0.296,0.325,0.508,0.167,PP,30
brookdanielle19,10/13/2017 19:56,0,1,come watch happy death day,,,9.19e+17,-0.0516,0.368,0.349,0.283,NN,30
kjmr09,10/13/2017 19:55,0,0,comes today instead decide stay chill watch,@astros,#HappyDeathDay #EarnHistory,9.19e+17,0.0,0.0,0.0,1.0,NN,30
DallariousAF,10/13/2017 19:55,0,1,happy death day good oh god,,,9.19e+17,0.5859,0.267,0.596,0.137,PP,30
cuquiface,10/13/2017 19:55,0,0,named happy groundhog,,#HappyDeathDay,9.19e+17,0.5719,0.0,0.649,0.351,PP,30
Makboogie,10/13/2017 19:55,0,0,happy death day two movies see,,,9.19e+17,-0.0516,0.336,0.319,0.345,NN,30
Yingerfelton,10/13/2017 19:55,1,1,think happy death day scared nah scared,@discordapp,,9.19e+17,-0.7506,0.661,0.22,0.119,Neg,30
