username,date,retweets,favorites,text,mentions,hashtags,id,Compound_Score,Negative_Score,Positive_Score,Neutral_Score,Indicator,GT
JzminRuiz28,10/21/2017 19:59,0,0,happy death day,,,9.22e+17,-0.0516,0.453,0.43,0.116,NN,21
coliseumtheater,10/21/2017 19:58,0,0,starting oct days happy death day rated friday,,,9.22e+17,-0.0516,0.287,0.272,0.441,NN,21
JonMikey34,10/21/2017 19:58,0,1,let next time see tl dm either happy death day flipped coin,,,9.22e+17,-0.0516,0.222,0.21,0.568,NN,21
CagedBirdsCafe,10/21/2017 19:58,0,0,way see happy death day,,#AlmostDied,9.22e+17,-0.0516,0.368,0.349,0.283,NN,21
davecuttle,10/21/2017 19:56,0,0,happy death day going win awards metric ton,,,9.22e+17,0.765,0.212,0.571,0.217,PP,21
LateGreatHenry,10/21/2017 19:56,0,0,happy death day teen comedy jump scares horror version groundhogs,,#HappyDeathDay,9.22e+17,-0.5859,0.472,0.292,0.236,Neg,21
ILWYSDANI,10/21/2017 19:56,0,2,happy death day fucking good holy shit please watch israel broussard fucking hot,,,9.22e+17,0.1102,0.311,0.368,0.321,PP,21
typicaldamien,10/21/2017 19:56,0,0,happy death day better,,,9.22e+17,0.4019,0.339,0.574,0.087,PP,21
ChildishPepino,10/21/2017 19:56,0,3,wanna go watch happy death day,,,9.22e+17,-0.0516,0.336,0.319,0.345,NN,21
whatsnew07,10/21/2017 19:56,0,0,watch full movie,,#Happy_Death_Day,9.22e+17,0.0,0.0,0.0,1.0,NN,21
avesdpt,10/21/2017 19:53,0,3,thought happy death day would cringey turned adorable made mad want something adorable,,,9.22e+17,0.5106,0.278,0.447,0.275,PP,21
hellhorror,10/21/2017 19:53,0,0,rt another saturday night movies see happy death day,@gpgbball,#happydeathday #horror,9.22e+17,-0.0516,0.267,0.253,0.479,NN,21
Hosssmash,10/21/2017 19:53,0,0,happy death day die fun original needed longer,,,9.22e+17,0.128,0.388,0.463,0.149,PP,21
allysterzer,10/21/2017 19:52,0,1,reaaally wanna see happy death day,,,9.22e+17,-0.0516,0.336,0.319,0.345,NN,21
D_alabduljaleel,10/21/2017 19:52,0,0,happy death day,,,9.22e+17,-0.0516,0.453,0.43,0.116,NN,21
freeingliberty,10/21/2017 19:51,0,1,glad enjoyed happy death day much fun little,,,9.22e+17,0.8555,0.193,0.658,0.149,PP,21
brrriit_,10/21/2017 19:50,0,5,happy death day good,,,9.22e+17,0.4019,0.339,0.574,0.087,PP,21
StephyLSilva,10/21/2017 19:50,0,2,went movies days movie pass saw blade happy death day might go,,,9.22e+17,-0.0516,0.222,0.21,0.568,NN,21
gpgbball,10/21/2017 19:48,0,0,another saturday night movies see happy death day,,#happydeathday #horror,9.22e+17,-0.0516,0.287,0.272,0.441,NN,21
JayBeeHanna,10/21/2017 19:48,0,0,older man talked bunch happy death day last way theater pointed talking mocked,,,9.22e+17,-0.3612,0.312,0.186,0.503,Neg,21
brotzmanised,10/21/2017 19:47,0,2,max tweeting drinking game ur watching happy death day really stan right man,,,9.22e+17,-0.0516,0.21,0.199,0.591,NN,21
Lexiaamonkey,10/21/2017 19:47,0,0,happy death day funny hoe crying laughter,,,9.22e+17,0.4215,0.372,0.521,0.106,PP,21
WidalysSerrano,10/21/2017 19:47,0,0,happy death day bien gasten su tiempo ni,,,9.22e+17,-0.0516,0.287,0.272,0.441,NN,21
TONYMORIN,10/21/2017 19:46,0,1,happy death day,,#31DaysOfHorror,9.22e+17,-0.0516,0.453,0.43,0.116,NN,21
ChingChangGino,10/21/2017 19:46,0,0,think want go see happy death day tonight,,,9.22e+17,0.0258,0.281,0.36,0.36,NN,21
Uptomyknees,10/21/2017 19:45,16,151,need attempt describe happy death day first let say glad say drinking,,,9.22e+17,0.4215,0.199,0.342,0.459,PP,21
BrandonHanna07,10/21/2017 19:45,0,0,little late finally saw happy death day review coming,,,9.22e+17,-0.0516,0.267,0.253,0.479,NN,21
SHenline808,10/21/2017 19:45,0,9,happy death day pretty g movie,,,9.22e+17,0.4588,0.305,0.539,0.156,PP,21
TheOnlyAbygail,10/21/2017 19:44,0,3,tryna go see happy death day,,,9.22e+17,-0.0516,0.336,0.319,0.345,NN,21
TomSullBoston,10/21/2017 19:44,0,1,happydeathdaymovie legacy place,@Showcase,#happydeathday #happydeathdaymovie,9.22e+17,0.0,0.0,0.0,1.0,NN,21
IAmNicoSuave,10/21/2017 19:44,0,1,highly recommend watch happy death day,,,9.22e+17,0.4323,0.286,0.495,0.22,PP,21
HereIsMeag,10/21/2017 19:44,0,1,happy death day literally craziest movie,,,9.22e+17,-0.1027,0.432,0.314,0.254,Neg,21
hannahlduh,10/21/2017 19:43,0,2,happy death day,,,9.22e+17,-0.0516,0.453,0.43,0.116,NN,21
DamodarCinemas,10/21/2017 19:43,0,1,still seen happy death day worry still final screenings week village,,#HappyDeathDay,9.22e+17,-0.4767,0.368,0.2,0.432,Neg,21
KillemRizzle,10/21/2017 19:43,0,1,hell yeahh thought remember movie came earlier year similar plot talking,,,9.22e+17,-0.6808,0.315,0.0,0.685,Neg,21
BranFanHQ,10/21/2017 19:43,0,0,happy death day good recommend,,,9.22e+17,0.6369,0.279,0.65,0.071,PP,21
MistaRafael,10/21/2017 19:42,0,0,happy death day,,,9.22e+17,-0.0516,0.453,0.43,0.116,NN,21
blackxidy,10/21/2017 19:42,0,3,still wondering made day kept restarting girl happy death day,,,9.22e+17,-0.0516,0.25,0.237,0.513,NN,21
nivxxole,10/21/2017 19:42,0,0,also want watch happy death day getting shmoney,,,9.22e+17,0.0258,0.281,0.36,0.36,NN,21
TheAceRimmer,10/21/2017 19:42,0,0,happy death day better right need aim lower next time,,,9.22e+17,0.128,0.326,0.353,0.321,PP,21
ohpeezy,10/21/2017 19:41,0,0,enjoy happy death day without year old tryna ask,,,9.22e+17,0.4588,0.232,0.411,0.357,PP,21
Lawrenceliwanag,10/21/2017 19:41,0,3,di ako maka move sa happy death day huyyy ang ganda promise lupet ng plot twist huhu,,,9.22e+17,0.2732,0.163,0.251,0.586,PP,21
eXTeeGi,10/21/2017 19:41,0,2,family enjoyed happy death day,,,9.22e+17,0.4767,0.302,0.543,0.155,PP,21
LeosAMovieGuy,10/21/2017 19:41,0,0,forget read new reviews happy death day,,,9.22e+17,-0.2732,0.43,0.274,0.296,Neg,21
TheDuragGeneral,10/21/2017 19:41,0,0,finna watch happy death day,,,9.22e+17,-0.0516,0.368,0.349,0.283,NN,21
mosxarilos,10/21/2017 19:40,0,0,rated happy death day,,#IMDb,9.22e+17,-0.0516,0.406,0.385,0.208,NN,21
CineSight,10/21/2017 19:39,0,0,short review happy death day hope enjoy much,,#HappyDeathDay,9.22e+17,0.7096,0.22,0.554,0.226,PP,21
hatwithbuttons,10/21/2017 19:39,0,0,day local theater gave cases,@UniversalHorror,#Halloween #HappyDeathDayMovie,9.22e+17,0.0,0.0,0.0,1.0,NN,21
Devonkopec,10/21/2017 19:39,0,0,yo happy death day wins dark horse really fun,,,9.22e+17,0.796,0.196,0.553,0.251,PP,21
torresjavier6,10/21/2017 19:39,0,0,happy death day,,,9.22e+17,-0.0516,0.453,0.43,0.116,NN,21
DaniDTalks,10/21/2017 19:37,0,0,good like bad movies,,#HappyDeathDay,9.22e+17,0.2263,0.354,0.545,0.101,PP,21
lovelytruce,10/21/2017 19:37,0,0,watching happy death day,,,9.22e+17,-0.0516,0.406,0.385,0.208,NN,21
lindscatherine_,10/21/2017 19:36,0,3,saw happy death day bc bad laughed whole time,,,9.22e+17,-0.1779,0.387,0.351,0.262,Neg,21
wthgio,10/21/2017 19:36,0,0,adorei happy death day erraram classificando filme como terror,,,9.22e+17,-0.5574,0.429,0.218,0.353,Neg,21
chelskilgore,10/21/2017 19:34,0,1,happy death day omg,,,9.22e+17,-0.0516,0.406,0.385,0.208,NN,21
wildishthing,10/21/2017 19:34,0,3,happy death day enjoyable,,,9.22e+17,0.4019,0.339,0.574,0.087,PP,21
theseigisniper,10/21/2017 19:34,0,2,way clever second half led believe,,#HappyDeathDay,9.22e+17,0.4588,0.0,0.375,0.625,PP,21
JeetoCheesus,10/21/2017 19:33,0,0,went see happy death day expecting hate hilarious actually well,,,9.22e+17,-0.0258,0.36,0.403,0.237,NN,21
madridstah,10/21/2017 19:33,0,0,think happy death day new favorite movie,,,9.22e+17,0.4215,0.267,0.459,0.274,PP,21
NinoFromVA,10/21/2017 19:32,0,1,solid movie seen movie similar plot though,,,9.22e+17,0.1531,0.0,0.211,0.789,PP,21
bearmccreary,10/21/2017 19:32,11,131,awesome seeing films done hometown film playing across,@unrestfilm,#RebelInTheRye #Score #HappyDeathDay,9.22e+17,0.7096,0.0,0.496,0.504,PP,21
malissaali,10/21/2017 19:32,2,10,happy death day menyakitkan hati zzz,,,9.22e+17,-0.34,0.477,0.289,0.234,Neg,21
tntncrz,10/21/2017 19:31,1,1,mas bet ko happy death day pero wait baka meron na sainyo na lang tayo manuod tas luto carbonara,,,9.22e+17,-0.0516,0.159,0.15,0.691,NN,21
Ayesha11178,10/21/2017 19:30,0,0,went see friday,,#HappyDeathDay,9.22e+17,0.0,0.0,0.0,1.0,NN,21
addison_durham,10/21/2017 19:30,0,0,someone go see happy death day,,,9.22e+17,-0.0516,0.336,0.319,0.345,NN,21
veIouroses,10/21/2017 19:29,0,0,yall happy death day good,,,9.22e+17,0.4019,0.312,0.528,0.16,PP,21
lovatodinahs,10/21/2017 19:28,0,5,watched happy death day think love jessica rothe ruby modine,,,9.22e+17,0.6124,0.207,0.42,0.372,PP,21
GreatnessAwakes,10/21/2017 19:28,0,1,seen good movies seen tyler perry boo happy death day,,,9.22e+17,0.4019,0.223,0.377,0.4,PP,21
vittorz,10/21/2017 19:28,0,0,morte te dar happy death day,@Cinemark,,9.22e+17,-0.0516,0.336,0.319,0.345,NN,21
kryslynnvaldez2,10/21/2017 19:26,0,1,want go watch happy death day someone,,,9.22e+17,0.0258,0.302,0.388,0.31,NN,21
lexiedreamer,10/21/2017 19:25,0,0,recommend everyone go see happy death day really,,,9.22e+17,0.3182,0.258,0.411,0.331,PP,21
Al3xAnimation,10/21/2017 19:24,0,2,groundhog day happy death day good,,,9.22e+17,0.4019,0.289,0.489,0.222,PP,21
thecalgee,10/21/2017 19:24,0,3,happy death day masterpiece fun ride loved great job carrying movie,,,9.22e+17,0.9451,0.139,0.682,0.179,PP,21
darealellen,10/21/2017 19:24,0,1,watching happy death day,,#trakt,9.22e+17,-0.0516,0.406,0.385,0.208,NN,21
Treylon8,10/21/2017 19:23,0,0,wanna go see happy death day im going,,,9.22e+17,-0.0516,0.287,0.272,0.441,NN,21
Gloomy_dave,10/21/2017 19:23,0,1,happy death day later,,,9.22e+17,-0.0516,0.406,0.385,0.208,NN,21
StefanyPrecious,10/21/2017 19:22,0,0,happy death day one awesome movieee,,,9.22e+17,0.5994,0.265,0.531,0.204,PP,21
KillemRizzle,10/21/2017 19:21,0,1,lmk opinion gabby watched day,,,9.22e+17,0.0,0.0,0.0,1.0,NN,21
marybethmom,10/21/2017 19:19,0,0,mini kids homecoming,,#gno #HappyDeathDay,9.22e+17,0.0,0.0,0.0,1.0,NN,21
annasendejas,10/21/2017 19:16,0,4,girl happy death day birthday,,,9.22e+17,-0.0516,0.368,0.349,0.283,NN,21
Annanana_Woo,10/21/2017 19:15,0,0,go waco happy death day meet hayden,,,9.22e+17,-0.0516,0.31,0.294,0.397,NN,21
paulypaul8,10/21/2017 19:15,0,0,going see happy death day,@MrZMovies,,9.22e+17,-0.0516,0.368,0.349,0.283,NN,21
ProdigyxCD,10/21/2017 19:15,0,1,happy death day really good slasher reminds,,,9.22e+17,0.4576,0.264,0.466,0.27,PP,21
stuckinroutine,10/21/2017 19:14,0,2,happy death day time ready ur talent,@RubyModine,,9.22e+17,0.6249,0.245,0.566,0.189,PP,21
BunLeungart,10/21/2017 19:13,0,0,happy death day surprisingly fun enjoyable,,,9.22e+17,0.802,0.229,0.712,0.059,PP,21
mita_chavira,10/21/2017 19:12,2,0,wanna go see happy death day,,,9.22e+17,-0.0516,0.336,0.319,0.345,NN,21
_brigrim,10/21/2017 19:12,0,1,happy death day actually really real,,,9.22e+17,-0.0516,0.336,0.319,0.345,NN,21
chaney1992,10/21/2017 19:11,0,1,two slight crush made onto list favorite horror,@creetureshow,#HappyDeathDay,9.22e+17,-0.3182,0.398,0.226,0.376,Neg,21
shanananaK,10/21/2017 19:11,1,5,saw happy death day w babe think jumped,,,9.22e+17,-0.0516,0.31,0.294,0.397,NN,21
colerkeel,10/21/2017 19:11,0,0,happy death day would really scary birthday,,,9.22e+17,-0.5709,0.49,0.245,0.265,Neg,21
ZRockR1,10/21/2017 19:10,0,0,happy death day new film christopher starring jessica rothe girl forced relive,,,9.22e+17,-0.4939,0.352,0.189,0.459,Neg,21
reahlest,10/21/2017 19:10,0,1,im ready get happy death day wouldve kinda dope trailers didnt give much away smh,,,9.22e+17,0.0,0.265,0.265,0.47,NN,21
edenbrower,10/21/2017 19:09,0,1,seeing halloween two weeks,,#HappyDeathDay #datenight #hubby,9.22e+17,0.0,0.0,0.0,1.0,NN,21
Lizwirtzfeld,10/21/2017 19:09,0,1,someone see happy death day tonight,,,9.22e+17,-0.0516,0.336,0.319,0.345,NN,21
Jessica52869343,10/21/2017 19:08,0,11,want go pumpkin patch see happy death day,,,9.22e+17,0.0258,0.281,0.36,0.36,NN,21
