username,date,retweets,favorites,text,mentions,hashtags,id,Compound_Score,Negative_Score,Positive_Score,Neutral_Score,Indicator,GT
Legion_Palmtree,10/16/2017 19:59,0,0,mascot university happy death day,,,9.20077e+17,-0.0516,0.368,0.349,0.283,NN,27
kendall_lydick,10/16/2017 19:59,2,2,need see happy death day,,,9.20077e+17,-0.0516,0.368,0.349,0.283,NN,27
michaeljavierw,10/16/2017 19:58,0,0,happy death day es una basura,,,9.20077e+17,-0.0516,0.336,0.319,0.345,NN,27
jacksonpurba,10/16/2017 19:58,0,0,latest secercah,,#snl #happydeathday,9.20077e+17,0.0,0.0,0.0,1.0,NN,27
jeonsdimpIe,10/16/2017 19:58,0,25,happy death day slandering anything,,,9.20077e+17,-0.0516,0.368,0.349,0.283,NN,27
morgmorgan25,10/16/2017 19:57,0,3,watching happy death day babysitter say need stop writing horribly cliche bad,,,9.20076e+17,-0.8519,0.549,0.156,0.295,Neg,27
_bling13bling_,10/16/2017 19:57,0,0,want see happy death day first supposed see friday work go see,,,9.20076e+17,0.0258,0.218,0.279,0.503,NN,27
adultshard,10/16/2017 19:56,0,1,groundhog day started wakes everyday happy death day,,,9.20076e+17,-0.0516,0.287,0.272,0.441,NN,27
JasonNReneau,10/16/2017 19:55,0,0,saw happy death day felt like making greatest looks,,,9.20076e+17,0.7579,0.202,0.539,0.259,PP,27
claudineiferrei,10/16/2017 19:55,0,0,happy death day want go see movie,,,9.20076e+17,0.0258,0.302,0.388,0.31,NN,27
BobAKABuffy,10/16/2017 19:54,0,3,really loved,@israelbroussard @juliacunningham @EWlive,#Carter #HappyDeathDay,9.20075e+17,0.6361,0.0,0.807,0.193,PP,27
jfcharrys,10/16/2017 19:53,0,0,watched happy death day really liked,,,9.20075e+17,0.4391,0.285,0.496,0.219,PP,27
MuvaCaramel,10/16/2017 19:53,0,0,happy death day rolling ole girl said first kappas eat cupcakes like damn,,,9.20075e+17,-0.1027,0.303,0.284,0.413,Neg,27
BabyyJayy01,10/16/2017 19:53,4,5,actually want go see happy death day,,,9.20075e+17,0.0258,0.302,0.388,0.31,NN,27
Thirstykirstii,10/16/2017 19:53,2,4,trying see happy death day still,,,9.20075e+17,-0.0516,0.336,0.319,0.345,NN,27
kvnrvr_,10/16/2017 19:52,0,1,neutral,,#HappyDeathDay,9.20075e+17,0.0,0.0,0.0,1.0,NN,27
chiefkeath_,10/16/2017 19:52,0,0,wanna watch happy death day,,,9.20075e+17,-0.0516,0.368,0.349,0.283,NN,27
Mjustin88,10/16/2017 19:51,0,0,feast last night even used phone find killer happy death day movie lol,,,9.20075e+17,-0.4019,0.346,0.274,0.38,Neg,27
shanieshanshan,10/16/2017 19:51,0,3,someone watch happy death day wid tomorrow pls,,,9.20075e+17,0.0258,0.281,0.36,0.36,NN,27
mattlegarreta,10/16/2017 19:50,0,0,really bad even low left theater mostly confused,,#HappyDeathDay,9.20074e+17,-0.8155,0.628,0.0,0.372,Neg,27
mcxreedus,10/16/2017 19:50,0,0,omg see u happy death day think little lesbian beautiful love lol,@jessica_rothe,,9.20074e+17,0.8795,0.163,0.587,0.25,PP,27
