username,date,retweets,favorites,text,mentions,hashtags,id,Compound_Score,Negative_Score,Positive_Score,Neutral_Score,Indicator,GT
Killaa_Z,2017-10-23 22:47,0,1,happy death day lame lol,,,922655647795204096,-0.0516,0.472,0.458,0.07,NN,20
EmilyFordx,2017-10-23 17:31,0,0,really wanna see happy death day,,,922576297221677056,0.0164,0.329,0.334,0.337,NN,20
khryzlxx,2017-10-24 11:32,0,0,happy death day,,,922848364156264450,-0.0516,0.453,0.43,0.116,NN,20
Benhedjtan,2017-10-22 11:00,0,3,yung happy death day na pinanood namin kanina maka hahaha,,,922115452410544128,0.5267,0.214,0.401,0.385,PP,20
louisenichole_,2017-10-23 03:50,0,0,huuuy ang astig ng happy death day,,,922369700226404353,-0.0516,0.31,0.294,0.397,NN,20
SADRICHHOE,2017-10-24 15:21,0,0,actually got name happy death day,,,922905820618219520,-0.0516,0.336,0.319,0.345,NN,20
JaeneMercado,2017-10-22 10:23,0,0,ow showing na pala happy death day,,,922106229433892866,-0.0516,0.31,0.294,0.397,NN,20
EDDGAWD,2017-10-24 18:36,0,2,need go watch happy death day,,,922954984047726592,-0.0516,0.336,0.319,0.345,NN,20
Crust_G_G,2017-10-23 01:13,0,0,happy death day really,,,922330029790461952,-0.0516,0.406,0.385,0.208,NN,20
STANLEYURlS,2017-10-23 04:41,0,1,wow okay happy death day favorite,,,922382557051785216,0.8176,0.225,0.717,0.058,PP,20
nabppHD,2017-10-23 13:30,0,0,happy death day,,,922515473169649664,-0.0516,0.453,0.43,0.116,NN,20
therealpilar14,2017-10-22 23:07,0,0,watching happy death day,,,922298367325040641,-0.0516,0.406,0.385,0.208,NN,20
nouispells,2017-10-23 21:26,0,1,translated wanna watch geostorm homeworks still ghosting even scarier happy death day,,,922635360013656064,-0.0516,0.222,0.21,0.568,NN,20
6_darklink_9,2017-10-23 03:08,0,1,un video de la misma vida una otra happy death day,@YouTube,,922359140256747520,-0.0516,0.235,0.223,0.542,NN,20
nnmlzn,2017-10-24 07:46,0,1,happy death day hehehehehehe,,,922791325790900225,-0.0516,0.406,0.385,0.208,NN,20
paopaodua,2017-10-23 10:29,0,0,happy death day kayaknya,,,922469966770618369,-0.0516,0.406,0.385,0.208,NN,20
alejandont,2017-10-22 20:51,0,0,love watch happy death day tweets bc see movie looked lame since saw,,,922264076515868672,0.296,0.284,0.335,0.381,PP,20
dvdwlf,2017-10-23 07:33,0,0,happy death day,,,922425689529135104,-0.0516,0.453,0.43,0.116,NN,20
Tariksalih2002,2017-10-22 16:19,0,0,happy death day,@AMCTheatres,,922195818068799492,-0.0516,0.453,0.43,0.116,NN,20
thncom,2017-10-23 04:45,2,3,anyone see kinda liked,,#HappyDeathDay,922383342015795200,0.3626,0.0,0.455,0.545,PP,20
wils_on1220,2017-10-23 11:20,0,0,today first day rest life,,#happydeathday,922482818638213121,0.0,0.0,0.0,1.0,NN,20
yooitsbeaa,2017-10-22 13:17,0,1,happy death day,,,922149814191747073,-0.0516,0.453,0.43,0.116,NN,20
TinaMarieSa,2017-10-22 17:21,0,0,wanna see happy death day,,,922211316932206592,-0.0516,0.368,0.349,0.283,NN,20
paulhillier1978,2017-10-23 13:52,0,0,rare solo cinema wanted snowman nesbo fan meant happy death day,,,922521019449036800,0.2732,0.218,0.335,0.447,PP,20
bucketboigio,2017-10-22 22:11,1,9,happy death day dumb movie recommend,,,922284419146117120,-0.25,0.468,0.403,0.13,Neg,20
erinbest123,2017-10-23 15:48,0,4,happy death day shit,,,922550291752513536,-0.5859,0.615,0.303,0.082,Neg,20
sanjmovies,2017-10-22 16:09,0,1,enough people asking woody latest rollout geostorm happy death day,,,922193170242433025,-0.0516,0.25,0.237,0.513,NN,20
arreludiamse,2017-10-24 10:00,0,1,happy death day,,,922825067762892800,-0.0516,0.453,0.43,0.116,NN,20
Eduardo5722,2017-10-24 02:05,0,0,gostei de um happy death day official trailer horror movie hd,@YouTube,#1,922705492534878209,-0.5994,0.394,0.192,0.415,Neg,20
Popcorn_Muncher,2017-10-22 13:42,0,0,good time horror great might perfect halloween party,,#HappyDeathDay,922156182269292549,0.8658,0.184,0.667,0.149,PP,20
DianaSyafuddin,2017-10-22 11:56,0,0,happy death day sumpah best gilos,,,922129459808833536,0.6124,0.264,0.534,0.203,PP,20
itsnaee3,2017-10-24 00:10,0,0,went seen happy death day movie even talking could b,@bxtchimkrugga1,,922676611098562560,-0.0516,0.267,0.253,0.479,NN,20
molllybevan,2017-10-24 03:06,0,1,thing happened start happened end nd could tell cycle like happy death day,,,922721059685756929,0.3182,0.194,0.308,0.498,PP,20
wanibunnie,2017-10-23 08:51,0,0,seriously wanna watch happy death day,,,922445358839369728,-0.2263,0.455,0.301,0.244,Neg,20
CharniceMarie_,2017-10-24 14:28,0,0,see rt happy death day light weight raw,@Tryna_stay_Tru,,922892564075773952,-0.0516,0.287,0.272,0.441,NN,20
kswdakt,2017-10-23 20:37,0,0,death,,,922623063375663105,-0.5994,1.0,0.0,0.0,Neg,20
Juanbreezer,2017-10-24 15:28,0,0,film wordt happy death day geostorm jigsaw bladerunner horror night,,,922907728930066445,-0.5994,0.415,0.202,0.383,Neg,20
kayIord,2017-10-23 09:16,1,1,girl happy death day looks lot like dianna agron shes pretty honestly im gay,,,922451666330304512,0.8176,0.154,0.49,0.356,PP,20
JakeE_Robinson,2017-10-24 17:08,0,0,loved seeing happy death day today,,,922932856913002497,0.5719,0.269,0.524,0.207,PP,20
joysofbookworms,2017-10-22 17:02,0,1,happy death day terrible perpetuates every stereotype ever please positive female boring,,,922206444463702016,-0.25,0.443,0.366,0.191,Neg,20
Malihaha_a,2017-10-22 19:08,0,0,really want watch happy death day,,,922238181482860544,0.1672,0.313,0.446,0.241,PP,20
