username,date,retweets,favorites,text,mentions,hashtags,id,Compound_Score,Negative_Score,Positive_Score,Neutral_Score,Indicator,GT
MalnurturedSnay,10/18/2017 19:59,0,1,theaters happy death day,,,9.20802e+17,-0.0516,0.406,0.385,0.208,NN,44
mikeburnswho,10/18/2017 19:58,0,0,got see monday night,@darciedarko,#HappyDeathDay,9.20801e+17,0.0,0.0,0.0,1.0,NN,44
bccinema,10/18/2017 19:58,0,0,dark comedy lovers one happy death day tickets tauranga available,,,9.20801e+17,0.6908,0.2,0.492,0.308,PP,44
BrSC8,10/18/2017 19:57,0,0,hoy toca,@UniversalHorror,,9.20801e+17,0.0,0.0,0.0,1.0,NN,44
N_Nasty18,10/18/2017 19:56,9,0,wanna see happy death day already,,,9.20801e+17,-0.0516,0.336,0.319,0.345,NN,44
eric_x13,10/18/2017 19:56,0,1,box office narratives almost entirely made one thing look br cost made happy death day,,,9.20801e+17,-0.0516,0.189,0.18,0.631,NN,44
alfanobjbj,10/18/2017 19:56,0,0,liked video happy death day ending explained,@YouTube,,9.20801e+17,0.3818,0.271,0.451,0.278,PP,44
richfelix_,10/18/2017 19:55,0,0,alright guys gonna watch happy death day brb gonna give review,,,9.20801e+17,0.2023,0.222,0.324,0.455,PP,44
TODDCastPodcast,10/18/2017 19:55,0,1,heard powered get,@Penthouse604,#Letterman #LAGuns #HappyDeathDay,9.208e+17,0.0,0.0,0.0,1.0,NN,44
smitacek18,10/18/2017 19:53,3,3,trying see happy death day go pumpkin patch weekend,,,9.208e+17,-0.0516,0.267,0.253,0.479,NN,44
msbutah,10/18/2017 19:53,0,9,gonna go see happy death day bought luxury seats gonna laugh spoopy groundhog day,,,9.208e+17,0.5267,0.176,0.329,0.495,PP,44
MikeJamesLake,10/18/2017 19:52,0,0,seeing happy death day eff nothing better,,,9.208e+17,-0.383,0.45,0.264,0.286,Neg,44
MohamedElnems07,10/18/2017 19:52,0,0,happy death day,,,9.208e+17,-0.0516,0.453,0.43,0.116,NN,44
eric_x13,10/18/2017 19:52,0,1,last weekened blade widely seen terrible weekend happy death day took,,#1 #1,9.208e+17,-0.5106,0.374,0.198,0.428,Neg,44
_0423x_,10/18/2017 19:51,2,1,happy death day,,,9.20799e+17,-0.0516,0.453,0.43,0.116,NN,44
killa_Camarah,10/18/2017 19:50,0,0,realized happy death day,,,9.20799e+17,-0.0516,0.406,0.385,0.208,NN,44
carlochim,10/18/2017 19:50,0,4,link na minha,,#Cr #AMorteTeD #HappyDeathDay #DicasDeFilmes #CarloChim,9.20799e+17,0.0,0.0,0.0,1.0,NN,44
KTunnski,10/18/2017 19:49,0,2,liked would give,,#HappyDeathDay #GroundhogDay,9.20799e+17,0.4215,0.0,0.583,0.417,PP,44
articfoxj,10/18/2017 19:49,0,0,added video playlist happy death day ending explained,@YouTube,,9.20799e+17,-0.0516,0.287,0.272,0.441,NN,44
franzcito2015,10/18/2017 19:48,0,0,un video de la impactante historia oculta en happy death day retorno,@YouTube,,9.20799e+17,-0.0516,0.222,0.21,0.568,NN,44
toofars,10/18/2017 19:47,0,5,watch happy death day,,,9.20799e+17,-0.0516,0.406,0.385,0.208,NN,44
JaredBuckendahl,10/18/2017 19:47,1,2,new ride home cody seth take teen birthday slasher,,#HappyDeathDay #movie #review #film #subscribe,9.20798e+17,0.0,0.0,0.0,1.0,NN,44
jacofreak123a,10/18/2017 19:46,0,0,liked video happy death day ending explained,@YouTube,,9.20798e+17,0.3818,0.271,0.451,0.278,PP,44
aazyxjsxx,10/18/2017 19:45,0,0,seriously choose watch go happy death day reading reviews,,,9.20798e+17,-0.2263,0.366,0.242,0.392,Neg,44
KBlack2595,10/18/2017 19:44,0,0,amc orange happy death day ca,@amctheatres,,9.20798e+17,-0.0516,0.336,0.319,0.345,NN,44
syidil,10/18/2017 19:43,0,0,baru saja mengubah ringtone hape jadi ringtone nya tree,,#HappyDeathDay,9.20798e+17,0.0,0.0,0.0,1.0,NN,44
strangerbby,10/18/2017 19:43,0,1,know lying calling movie happy death day movie america,,#1,9.20798e+17,-0.5574,0.429,0.218,0.353,Neg,44
tk_juice,10/18/2017 19:43,0,0,mask kinda looks like thought hoodie long thank,@2gay2lift,#HappyDeathDay,9.20797e+17,0.575,0.0,0.44,0.56,PP,44
horrortownusa,10/18/2017 19:43,1,3,talk happy death day,,,9.20797e+17,-0.0516,0.406,0.385,0.208,NN,44
MattTomerlin,10/18/2017 19:42,0,1,seated happy death day attempting contain,,,9.20797e+17,-0.0516,0.336,0.319,0.345,NN,44
JessicaFilipa7,10/18/2017 19:42,1,0,quero bue ir ver happy death day,,,9.20797e+17,-0.0516,0.31,0.294,0.397,NN,44
OkFilmCritics,10/18/2017 19:42,0,0,joe reviews happy death day,@TheTulsaVoice @joshansky @UniversalHorror,,9.20797e+17,-0.0516,0.368,0.349,0.283,NN,44
BrandonSanch94,10/18/2017 19:41,0,0,also wanna go see happy death day,,,9.20797e+17,-0.0516,0.31,0.294,0.397,NN,44
andzchelababq41,10/18/2017 19:41,0,0,happy death day scares million box office,,,9.20797e+17,-0.3818,0.45,0.264,0.286,Neg,44
Swiftimpala,10/18/2017 19:40,0,4,saw fun,,#HappyDeathDay,9.20797e+17,0.5106,0.0,0.767,0.233,PP,44
sawsoldier,10/18/2017 19:40,0,0,movie make partner bring ear plugs might fall,,,9.20797e+17,0.0,0.0,0.0,1.0,NN,44
c_johns,10/18/2017 19:40,0,0,happy death day,,,9.20797e+17,-0.0516,0.453,0.43,0.116,NN,44
NotliAiran,10/18/2017 19:38,0,0,assistindo happy death day em arcoplex via catarina,,,9.20796e+17,-0.0516,0.287,0.272,0.441,NN,44
aleighasamp,10/18/2017 19:37,8,11,wanna go see happy death day,,,9.20796e+17,-0.0516,0.336,0.319,0.345,NN,44
AshleyKlinko,10/18/2017 19:36,0,0,october,,#HappyDeathDay,9.20796e+17,0.0,0.0,0.0,1.0,NN,44
Enigma32,10/18/2017 19:35,0,0,fun loved,,#HappyDeathDay,9.20796e+17,0.802,0.0,1.0,0.0,PP,44
rockoutloud127,10/18/2017 19:35,0,0,ha gustado un de la misma vida una otra happy death day,@YouTube,,9.20795e+17,0.296,0.205,0.321,0.474,PP,44
