username,date,retweets,favorites,text,mentions,hashtags,id,Compound_Score,Negative_Score,Positive_Score,Neutral_Score,Indicator,GT
Ahmanduhx,2017-10-23 22:51,0,0,think happy death day funniest movie friends,,,922656730093416448,0.7579,0.225,0.601,0.173,PP,23
OeyMingYenn,2017-10-23 09:52,0,0,watching happy death day,@cinemaxxtheater,,922460824500703232,-0.0516,0.406,0.385,0.208,NN,23
artineee,2017-10-23 09:14,0,1,happy death day,,,922451119128788996,-0.0516,0.453,0.43,0.116,NN,23
Bluesunrisecat,2017-10-24 06:20,0,0,gonna see happy death day aaaaa,,,922769765084434432,-0.0516,0.336,0.319,0.345,NN,23
_rbiaa_,2017-10-24 10:50,4,3,really want watch happy death day,,,922837734019833858,0.1672,0.313,0.446,0.241,PP,23
groovy_mo,2017-10-24 18:47,0,3,milwaukees best deep happy death day still fucking blows,,,922957629999255552,0.6124,0.219,0.444,0.337,PP,23
itsdesbih_,2017-10-24 12:21,1,0,mad showed much irritating watch cause bitches dumb,,#happydeathday,922860590183469059,-0.9246,0.77,0.0,0.23,Neg,23
travelpisces,2017-10-23 10:50,0,0,happy death day ternyata surely beyond ringan tapi intense dan kusuka aktingnya jessica rothe must guys,,,922475202306482178,0.4588,0.164,0.332,0.504,PP,23
trhsnewspaper,2017-10-23 11:21,0,2,new review happy death day wyatt coker website,,#photo,922483003766525952,-0.0516,0.287,0.272,0.441,NN,23
selfdxstruction,2017-10-23 21:36,0,0,happy death day good movie,,,922637953045643265,0.4019,0.312,0.528,0.16,PP,23
allieyanizam,2017-10-23 10:52,0,1,happy death day recommended psycho nakram,,,922475783758561280,0.1531,0.315,0.444,0.242,PP,23
veyekiyoj,2017-10-24 17:11,0,0,happy death day,,,922933532401467394,-0.0516,0.453,0.43,0.116,NN,23
MeTheManAndKids,2017-10-24 08:20,0,0,anyone watched happy death day went watch last say found,,#HappyDeathDay,922799941709434880,-0.0516,0.25,0.237,0.513,NN,23
ilalala8,2017-10-24 09:44,0,0,nak tengok happy death day lah,,,922821010314821633,-0.0516,0.336,0.319,0.345,NN,23
XY_Annabeth,2017-10-23 04:57,1,0,happy death day masih tayang di go see,,,922386363495849986,-0.0516,0.287,0.272,0.441,NN,23
bellliottt,2017-10-22 23:07,1,4,happy death day,,,922298325184819202,-0.0516,0.453,0.43,0.116,NN,23
BritNightmares,2017-10-24 05:55,0,0,happy death day absolute witty script proof thing good goreless,,,922763582076485633,0.4019,0.223,0.377,0.4,PP,23
_AlexisCharles,2017-10-23 00:54,1,1,happy death day boring asf left movie,,,922325232567898113,-0.3612,0.446,0.266,0.288,Neg,23
chencanlasx,2017-10-23 19:26,0,1,wanna watch happy death day okay,,,922605257145827329,0.1779,0.312,0.448,0.24,PP,23
nolomoifa,2017-10-24 05:43,0,0,happy death day gave,,,922760560197939200,-0.0516,0.406,0.385,0.208,NN,23
annemcdonald7,2017-10-24 08:13,0,1,neutral,@DowellBecca,,922798153878900736,0.0,0.0,0.0,1.0,NN,23
adamhlavac,2017-10-23 04:32,7,42,saw yesterday loved hoping jessica rothe knocks outta,,#HappyDeathDay,922380237186383872,0.7717,0.0,0.528,0.472,PP,23
Mark33A,2017-10-24 05:13,0,1,told steven like see geostorm happy death day response go see last jedi,,,922752827520364545,0.3182,0.194,0.308,0.498,PP,23
smolniku,2017-10-24 11:38,0,0,oh btw happy death day fucking pls go see immediately,,,922849718924754944,0.101,0.241,0.327,0.432,PP,23
playerhamster1,2017-10-22 12:08,0,0,happy death day available,@PyramidAddOn,,922132454181351425,-0.0516,0.406,0.385,0.208,NN,23
PatricioJuare13,2017-10-24 13:34,0,1,det du forklare hvorfor happy death day er en film,,,922878913692491777,-0.0516,0.25,0.237,0.513,NN,23
ONEandONLYJNICE,2017-10-22 18:54,0,0,relive day kind start see really,,#HappyDeathDay #TodayIsTheFirstDayOfTheRestOfYourLife,922234780590190592,0.5267,0.0,0.405,0.595,PP,23
lisa_longlashes,2017-10-24 16:01,0,0,neutral,@ODEON,#Horrors #MotherDaughterTime #HappyDeathDay,922915980874883072,0.0,0.0,0.0,1.0,NN,23
Piapasok,2017-10-22 12:55,0,3,bad happy death day sundays ano paaa huhuhuhu gusto ko marath huhu,,,922144320605470721,-0.5719,0.368,0.184,0.448,Neg,23
CinirixYT,2017-10-24 13:43,0,0,happy death day smash one appreciates good stories,,,922881341464686593,0.7184,0.219,0.556,0.225,PP,23
MykelSwagerton1,2017-10-23 16:37,0,1,wanna go happy death day fr,,,922562725783285760,-0.0516,0.336,0.319,0.345,NN,23
Pardon_1997,2017-10-24 14:53,0,1,lol till saw horror one called happy death day like,,,922898748619059201,0.1027,0.352,0.417,0.231,PP,23
