username;date;retweets;favorites;text;geo;mentions;hashtags;id;permalink
BarackObama;2016-10-07 15:54;602;2539;"The Obama administration and @CFPB are working to protect consumers and #StopTheDebtTrap . pic.twitter.com/UMO01OUkdh";;@CFPB;#StopTheDebtTrap;"784482008730734592";https://twitter.com/BarackObama/status/784482008730734592
BarackObama;2016-10-07 14:02;616;2544;"Our economy is on a better, stronger course. http:// ofa.bo/2dkzDAj";;;;"784453805706534916";https://twitter.com/BarackObama/status/784453805706534916
BarackObama;2016-10-07 12:16;1123;3833;"The economic progress we've made is undeniable—let's keep it up. pic.twitter.com/gAlfaC1hkI";;;;"784427310703345664";https://twitter.com/BarackObama/status/784427310703345664
BarackObama;2016-10-07 11:14;1193;3292;"Check out President Obama's essay in @TheEconomist on the unique challenges the American economy faces. http:// ofa.bo/2dk8Ynm";;@TheEconomist;;"784411527193456640";https://twitter.com/BarackObama/status/784411527193456640
BarackObama;2016-10-07 09:59;2190;7935;"The economy added 156,000 jobs in September—extending the longest streak of total job growth on record.";;;;"784392680008712192";https://twitter.com/BarackObama/status/784392680008712192
BarackObama;2016-10-06 14:35;737;2631;"ICYMI: Read about the historic #ParisAgreement and what it means for the fight to #ActOnClimate . http:// ofa.bo/2dyb5WA";;;#ParisAgreement #ActOnClimate;"784099769425596418";https://twitter.com/BarackObama/status/784099769425596418
BarackObama;2016-10-06 11:48;908;3262;"The cost of clean energy technology dropped significantly over the last eight years. Get the chart: http:// ofa.bo/2dHBN0k #ActOnClimate";;;#ActOnClimate;"784057869549252608";https://twitter.com/BarackObama/status/784057869549252608
BarackObama;2016-10-05 17:30;1337;5505;"This historic step in the fight to #ActOnClimate came faster than anyone predicted. pic.twitter.com/W2rtcNXkI7";;;#ActOnClimate;"783781468719943680";https://twitter.com/BarackObama/status/783781468719943680
BarackObama;2016-10-05 16:44;1779;6128;""Today is a historic day in the fight to protect our planet for future generations." —President Obama #ActOnClimate http://www. snappytv.com/tc/2949825";;;#ActOnClimate;"783769909146845184";https://twitter.com/BarackObama/status/783769909146845184
BarackObama;2016-10-05 15:30;488;1869;"LIVE: President Obama is delivering a statement on the Paris Climate Agreement. http:// ofa.bo/2dFlmSh";;;;"783751285212258304";https://twitter.com/BarackObama/status/783751285212258304
BarackObama;2016-10-05 11:50;764;2394;"Read from @NYTopinion about why filling the Supreme Court vacancy is crucial for our democracy: http:// ofa.bo/2dEKeJE #DoYourJob";;@NYTopinion;#DoYourJob;"783695919006920704";https://twitter.com/BarackObama/status/783695919006920704
