0,Compound_Score,Negative_Score,Positive_Score,Neutral_Score
guess new movie happy death day,-0.0516,0.336,0.319,0.345
tryna watch happy death day,-0.0516,0.368,0.349,0.283
wants go watch happy death day,-0.0516,0.336,0.319,0.345
foreigner happy death day,-0.0516,0.406,0.385,0.208
going see,0.0,0.0,0.0,1.0
happy death day,-0.0516,0.453,0.43,0.116
happy death day fright fest tomorrow nails festiv love october,0.34,0.319,0.387,0.294
seeing,0.0,0.0,0.0,1.0
go see happy death day together,-0.0516,0.336,0.319,0.345
happy death day tayang midnight besok di via,-0.0516,0.287,0.272,0.441
might go see happy death day movie tonight,-0.0516,0.287,0.272,0.441
quiero ver happy death day,-0.0516,0.368,0.349,0.283
happy death day,-0.0516,0.453,0.43,0.116
box happy death day earns nabs,-0.0516,0.336,0.319,0.345
happy death day lamest movie ever made,-0.4019,0.454,0.262,0.284
delivers another effective,0.4767,0.0,0.608,0.392
movies tonight see happy death day,-0.0516,0.336,0.319,0.345
happy death day,-0.0516,0.453,0.43,0.116
happy death day lmt,-0.0516,0.406,0.385,0.208
someone needa go see happy death day,-0.0516,0.31,0.294,0.397
happy death day,-0.0516,0.453,0.43,0.116
happy death day,-0.0516,0.453,0.43,0.116
wonderfully plays various,0.7096,0.0,0.855,0.145
aller au voir happy death day ce soir mais nous sommes tous ici,-0.0516,0.21,0.199,0.591
wanna see happy death day,-0.0516,0.368,0.349,0.283
think happy death day,-0.0516,0.406,0.385,0.208
really wanna see happy death day,0.0164,0.329,0.334,0.337
happy death day today hehe,-0.0516,0.368,0.349,0.283
neutral,0.0,0.0,0.0,1.0
ope rip two days billing catch happy death day tho,-0.0516,0.25,0.237,0.513
ich mag das go behind scenes happy death day,-0.0516,0.267,0.253,0.479
good stream apartment complex holding block seeing happy death day tonight happy,0.5423,0.282,0.427,0.29
fancy birthday going cinemas one,0.0,0.0,0.0,1.0
student must relive death solve creeps cinemas oct,-0.4767,0.333,0.154,0.513
prolli even nothing tonight frfr go see happy death day movie,-0.0516,0.235,0.223,0.542
added video playlist happy death day movie review october,-0.0516,0.267,0.253,0.479
want go see happy death day,0.0258,0.328,0.42,0.252
wanna see happy death day,-0.0516,0.368,0.349,0.283
though scary dialogue horrid predictable happy death day fun movie watch right person,-0.5574,0.414,0.273,0.313
wonder happy death day good movie,0.4019,0.289,0.489,0.222
happy death day looks like dumb movie,-0.25,0.439,0.378,0.183
scream queen snotty sorority skank powerful,0.0258,0.284,0.295,0.421
happy death day review,-0.0516,0.406,0.385,0.208
going go see happy death day,-0.0516,0.336,0.319,0.345
going see happy death day,-0.0516,0.368,0.349,0.283
dying see happy death day today,-0.0516,0.336,0.319,0.345
tryna go see happy death day tonight,-0.0516,0.31,0.294,0.397
happy death day boo four lokos tonight,-0.0516,0.31,0.294,0.397
think girl happy death day quite,-0.0516,0.336,0.319,0.345
box happy death day earns nabs,-0.0516,0.336,0.319,0.345
anyone wanna see happy death day w,-0.0516,0.336,0.319,0.345
litterally wanna today watch happy death day grounded,-0.0516,0.287,0.272,0.441
seeing happy death day tomorrow,-0.0516,0.368,0.349,0.283
go see,0.0,0.0,0.0,1.0
midnight screenings happy death day via,-0.0516,0.336,0.319,0.345
movie happy death day,-0.0516,0.406,0.385,0.208
supposed root killer happy death day really make protag seem like asshole,-0.4588,0.366,0.277,0.357
think going see tonight go groundhog day concept seems pretty,0.4939,0.0,0.262,0.738
expertly straddles line horror,-0.5719,0.552,0.0,0.448
wanna go see happy death day tonight,-0.0516,0.31,0.294,0.397
uh well bad comes today,-0.34,0.407,0.244,0.349
want see,0.0772,0.0,0.565,0.435
much celebrate happy friday happy national haunted house happy death day,0.8316,0.261,0.552,0.187
happy death day today pleasantly surprised fun witty jessica rothe,0.7964,0.187,0.574,0.239
like wanna go hayride orrrrrrr go see new movie happy death day,0.3182,0.204,0.325,0.471
seeing happy death day,-0.0516,0.406,0.385,0.208
want see happy death day,0.0258,0.358,0.459,0.183
ughh wanna go see happy death day bad,-0.5719,0.46,0.23,0.311
ah know happy death day latest horror thriller opening today penned scott lobdell,-0.5423,0.35,0.235,0.415
box happy death day earns nabs,-0.0516,0.336,0.319,0.345
happy death day,-0.0516,0.453,0.43,0.116
saw happy death day people showing last tons liked quite bit,0.3818,0.212,0.353,0.435
humorously pathetic ruins aca friday,-0.5106,0.555,0.277,0.168
see happy death day tonight,-0.0516,0.368,0.349,0.283
happy death day box office predictions via,-0.0516,0.31,0.294,0.397
ever felt like reliving day catch happy death day,0.3182,0.242,0.385,0.373
anybody want go moves w tonight see happy death day extra ticket,0.0258,0.231,0.296,0.473
review happy death day,-0.0516,0.406,0.385,0.208
happy death day professor marston wonder women,-0.0516,0.31,0.294,0.397
excited happy death day tonight good ad seen youtube past two,0.6249,0.196,0.452,0.352
neutral,0.0,0.0,0.0,1.0
wanna see,0.0,0.0,0.0,1.0
bumper bumber shaw luckily friend hit thanks happy death day movie pass,0.8481,0.163,0.546,0.292
idk wanna see happy death day till death us apart,-0.6705,0.487,0.196,0.317
delivers late night brings,0.0,0.0,0.0,1.0
confiram nossa de da,0.0,0.0,0.0,1.0
happy death day movie review,-0.0516,0.368,0.349,0.283
happy death day calienta la cartelera estadounidense de cara halloween,-0.0516,0.25,0.237,0.513
still know finna see happy death day tn,-0.0516,0.287,0.272,0.441
wanna see happy death day,-0.0516,0.368,0.349,0.283
happy death day probably one best horror movies twisted plot seen highly recommend,0.4754,0.289,0.407,0.304
going see happy death day,-0.0516,0.368,0.349,0.283
actually excited see happy death day,0.296,0.3,0.469,0.231
hope everybody great,0.7906,0.0,0.875,0.125
happy death day,-0.0516,0.453,0.43,0.116
admit one,0.2023,0.0,0.643,0.357
someone go see happy death day today,-0.0516,0.31,0.294,0.397
happy death day lidera las carteleras en eeuu,-0.0516,0.287,0.272,0.441
happy death day yet another riff groundhog via,-0.0516,0.287,0.272,0.441
wanna see happy death day,-0.0516,0.368,0.349,0.283
secrets kept birthday,0.0,0.0,0.0,1.0
box earns nabs via,0.0,0.0,0.0,1.0
happy death day,-0.0516,0.453,0.43,0.116
googletrend tattoos elliott happy death day,-0.0516,0.336,0.319,0.345
get free ticket catch movie goodyear hall happy death day greiner hall,0.4767,0.196,0.352,0.452
want see,0.0772,0.0,0.565,0.435
happy death day come today going see,-0.0516,0.31,0.294,0.397
really wanna go see flatliner happy death day tonight,-0.0516,0.267,0.253,0.479
happy death day professor marston wonder women,-0.0516,0.31,0.294,0.397
new theatres happy death day professor marston,-0.0516,0.31,0.294,0.397
neutral,0.0,0.0,0.0,1.0
happy death day definitely move today,0.3612,0.293,0.481,0.226
jess seeing happy death day,-0.0516,0.368,0.349,0.283
happy death day lidera las carteleras en eeuu,-0.0516,0.287,0.272,0.441
happy death day lidera las carteleras en eeuu,-0.0516,0.287,0.272,0.441
um wanna go see happy death day w,-0.0516,0.31,0.294,0.397
wanna go see happy death day today,-0.0516,0.31,0.294,0.397
happy death day,-0.0516,0.453,0.43,0.116
someone take see happy death day tonight,-0.0516,0.31,0.294,0.397
happy death day lidera las carteleras en eeuu,-0.0516,0.287,0.272,0.441
trying go watch happy death day,-0.0516,0.336,0.319,0.345
deaf joke,0.296,0.0,0.688,0.313
happy death day box office predictions watch watch givesher thoughts weekend boxoffice,-0.0516,0.222,0.21,0.568
happy death day,-0.0516,0.453,0.43,0.116
happy death day,-0.0516,0.453,0.43,0.116
happy death day,-0.0516,0.453,0.43,0.116
anybody going go see today anytime soon since coming anyone seen already,0.0,0.0,0.0,1.0
wants go see happy death day,-0.0516,0.336,0.319,0.345
happy death day funny scary movie ever seen,-0.128,0.401,0.373,0.226
birthday list dress birthday cake masked murderer unlimited opportunities solve murder cinemas oct,-0.7845,0.41,0.194,0.396
want see happy death day,0.0258,0.358,0.459,0.183
film happy death day rilis besok tanggal di indonesia,-0.0516,0.267,0.253,0.479
happy death day,-0.0516,0.453,0.43,0.116
happy death day review rare misfire blumhouse via,-0.0516,0.287,0.272,0.441
happy death day,-0.0516,0.453,0.43,0.116
retweeted shocktillyoudropnews,0.0,0.0,0.0,1.0
feel like happy death day movie much hype around gonna good,0.6369,0.195,0.455,0.35
happy death day box office predictions going weekend,-0.0516,0.287,0.272,0.441
happy death day came today must see,-0.0516,0.31,0.294,0.397
putting money ruby character killer,-0.6486,0.518,0.0,0.482
gonna go watch happy death day get friday tattoo fuckkkk today gonna good,0.4019,0.19,0.322,0.488
friday happy death day comes jhfisdlkfg,-0.0516,0.336,0.319,0.345
wish week bi week wanna go see happy death day,0.3612,0.225,0.37,0.405
happy death day engaging hodgepodge entertains spite jessica rothe,0.296,0.351,0.457,0.192
really best,0.6697,0.0,0.818,0.182
hope blade feeling happy death day really wish blade runner made last weekend,0.7346,0.17,0.482,0.348
happy death day pretty straight,0.5994,0.285,0.642,0.073
happy death day,-0.0516,0.453,0.43,0.116
really want go see happy death day someone,0.101,0.275,0.373,0.352
happy death day,-0.0516,0.453,0.43,0.116
want see happy death day,0.0258,0.358,0.459,0.183
join derek drew get freaked weekend watching happy death day tune monday,-0.0516,0.305,0.295,0.4
winning weekend happy death day blade runner qkvmm,0.4939,0.244,0.444,0.313
happy death day looks good,0.4019,0.312,0.528,0.16
wanna see happy death day tonight,-0.0516,0.336,0.319,0.345
happy death day,-0.0516,0.453,0.43,0.116
tryna see happy death day,-0.0516,0.368,0.349,0.283
wanna go see happy death day,-0.0516,0.336,0.319,0.345
seeing happy death day today else swing,-0.0516,0.31,0.294,0.397
happy death day overrated disappointed,-0.5106,0.551,0.291,0.157
hey guys friday happy going see happy death day,0.5423,0.225,0.428,0.347
want go see happy death day,0.0258,0.328,0.42,0.252
actually know getting spooky taking watch happy death day,-0.0516,0.267,0.253,0.479
wanna go see happy death day,-0.0516,0.336,0.319,0.345
happy death day leading cineplex victory week via,-0.0516,0.287,0.272,0.441
happy death day weird cool see tv background voice distorted still,-0.3182,0.409,0.296,0.296
anyone seen happy death day yet,-0.0516,0.336,0.319,0.345
whose gonna watch happy death day mee,-0.0516,0.31,0.294,0.397
saw happy death day bro last night honestly lit af,0.4215,0.222,0.381,0.398
macht uns ein neuer das leben der happy ab november im kino,0.5719,0.0,0.252,0.748
box happy death day nabs million thursday previews,-0.0516,0.287,0.272,0.441
friday means see happy death day tonight,-0.0516,0.31,0.294,0.397
hmmm weird happy death day came hope today goes smoothly boy,0.25,0.292,0.344,0.365
someone could take see happy death day,-0.0516,0.31,0.294,0.397
really want go see happy death day lol,0.4927,0.244,0.506,0.25
congrats nya award winner celebrating friday danielle happy death day ws,0.9349,0.144,0.67,0.185
seeing happy death day awhile since seen slasher hoping,0.3818,0.238,0.396,0.366
midnight see plus see happy death day,-0.0516,0.31,0.294,0.397
trying watch happy death day tonight,-0.0516,0.336,0.319,0.345
happy death day playing fri,0.1531,0.342,0.482,0.175
scary movies happy death day seems trippy asf might go see,-0.5267,0.378,0.197,0.426
happy death day eh bom,-0.0516,0.368,0.349,0.283
wanna go see happy death day today,-0.0516,0.31,0.294,0.397
definitely going see happy death day tomorrow,0.3612,0.273,0.448,0.28
death day cake would using,-0.5994,0.494,0.0,0.506
wanna go watch happy death day,-0.0516,0.336,0.319,0.345
fright haunted carving pumpkin seeing happy death day moves october,-0.7096,0.497,0.192,0.311
tryna go see happy death day tonight,-0.0516,0.31,0.294,0.397
happy death day,-0.0516,0.453,0.43,0.116
wanna go see happy death day weekend,-0.0516,0.31,0.294,0.397
happy death day ad annoying shit,-0.7579,0.642,0.233,0.126
happy death day lidera las carteleras en eeuu,-0.0516,0.287,0.272,0.441
wants go see happy death day,-0.0516,0.336,0.319,0.345
wants go watch happy death day tonight,-0.0516,0.31,0.294,0.397
anyone else going see happy death day,-0.0516,0.31,0.294,0.397
la ven entrades per happy death day les,-0.0516,0.287,0.272,0.441
happy death day,-0.0516,0.453,0.43,0.116
neutral,0.0,0.0,0.0,1.0
check friends movie opens says really happy death day via,0.4432,0.229,0.388,0.383
waiting someone tell happy death day win oscar best,0.8316,0.189,0.568,0.243
probably gonna go see happy death day,-0.0516,0.31,0.294,0.397
box happy death day nabs million thursday previews,-0.0516,0.287,0.272,0.441
wanna go see happy death day,-0.0516,0.336,0.319,0.345
happy death day,-0.0516,0.453,0.43,0.116
box happy death day nabs million thursday previews,-0.0516,0.287,0.272,0.441
box happy death day nabs million thursday previews,-0.0516,0.287,0.272,0.441
weekend box earns thursday previews hollywood,0.0,0.0,0.0,1.0
happy death day hope kill anyone hating,-0.743,0.58,0.322,0.098
wait see tonight,0.0,0.0,0.0,1.0
happy death day movie,-0.0516,0.406,0.385,0.208
happy death day need leave earth,-0.1027,0.432,0.314,0.254
wanna go see happy death day tonight,-0.0516,0.31,0.294,0.397
happy death day looks dumb help wanna watch,-0.2023,0.409,0.364,0.227
tryna watch happy death day,-0.0516,0.368,0.349,0.283
box happy death day nabs million thursday previews,-0.0516,0.287,0.272,0.441
want see,0.0772,0.0,0.565,0.435
box happy death day nabs million thursday previews,-0.0516,0.287,0.272,0.441
right go see happy death day,-0.0516,0.336,0.319,0.345
happy death day tonight,-0.0516,0.406,0.385,0.208
critica de happy death day,-0.0516,0.368,0.349,0.283
happy death day,-0.0516,0.453,0.43,0.116
okay disebabkan dah lama aku patah kaki missed pls gimme chance tengok happy death day semoga kaki cepat sembuh,0.2023,0.218,0.318,0.464
wanna see happy death day,-0.0516,0.368,0.349,0.283
hoping able see happy death day,0.3818,0.291,0.485,0.224
pengen nonton happy death day tp main nya malem amat sich mana cuma sehari,-0.0516,0.199,0.189,0.612
box happy death day nabs million thursday previews,-0.0516,0.287,0.272,0.441
box happy death day nabs million thursday previews,-0.0516,0.287,0.272,0.441
really tryna see happy death day tonight,0.0164,0.303,0.308,0.389
weekend box happy death day earns thursday previews updates,-0.0516,0.267,0.253,0.479
box happy death day nabs million thursday previews,-0.0516,0.287,0.272,0.441
want go see happy death day tonight,0.0258,0.302,0.388,0.31
seeing tonight rt wanna see happy death day tf,-0.0516,0.267,0.253,0.479
weekend box happy death day earns thursday previews,-0.0516,0.287,0.272,0.441
neutral,0.0,0.0,0.0,1.0
wanna go see movie happy death day,-0.0516,0.31,0.294,0.397
weekend box happy death day earns thursday previews,-0.0516,0.287,0.272,0.441
watch faster gets,0.0,0.0,0.0,1.0
youtube finally done happy death day ads every done,-0.0516,0.267,0.253,0.479
wanna watch happy death day,-0.0516,0.368,0.349,0.283
supposed see happy death day friends school flopped,0.4404,0.248,0.433,0.318
box happy death day nabs million thursday previews,-0.0516,0.287,0.272,0.441
movie night happy death day,-0.0516,0.368,0.349,0.283
happy death day everyone friday,-0.0516,0.368,0.349,0.283
wanna see happy death day even seen,-0.0516,0.31,0.294,0.397
finna go watch happy death day get drunk tonight wake tomorrow morning work go ren,-0.3818,0.286,0.168,0.545
looks epic tv,0.0,0.0,0.0,1.0
anybody seen new horror movie came want watch,-0.5267,0.336,0.118,0.545
check review fun watch hits theaters,0.5106,0.0,0.398,0.602
wanna go wath happy death day,-0.0516,0.336,0.319,0.345
box happy death day nabs million thursday previews,-0.0516,0.287,0.272,0.441
want go see happy death day,0.0258,0.328,0.42,0.252
box happy death day nabs million thursday previews,-0.0516,0.287,0.272,0.441
wish jaz could go see happy death day ig go,0.3612,0.225,0.37,0.405
happy friday happy death day hits theaters,0.5423,0.255,0.484,0.261
box happy death day nabs million thursday previews,-0.0516,0.287,0.272,0.441
must watch movies justice league flatliners happy death day star wars sa mga muinvite dra mao rna akong choices,-0.1027,0.253,0.24,0.507
happy friday aka happy death day,0.5423,0.273,0.517,0.21
box happy death day nabs million thursday previews,-0.0516,0.287,0.272,0.441
see happy death day occasion,-0.0516,0.368,0.349,0.283
tryna go watch happy death day,-0.0516,0.336,0.319,0.345
somebody told found movie theatre shows happy death day might able make,-0.0516,0.222,0.21,0.568
wanna see happy death day,-0.0516,0.368,0.349,0.283
weekend box happy death day earns thursday previews,-0.0516,0.287,0.272,0.441
ayy,0.0,0.0,0.0,1.0
somehow get chirped powered,0.0,0.0,0.0,1.0
weekend box happy death day earns thursday jackie,-0.0516,0.287,0.272,0.441
weekend box happy death day earns thursday previews,-0.0516,0.287,0.272,0.441
going see happy death day better,0.4019,0.289,0.489,0.222
wanna go see happy death day rn,-0.0516,0.31,0.294,0.397
happy death day looks fun,0.4767,0.302,0.543,0.155
happy friday oh nfbsjs means happy death day today right,0.5423,0.213,0.404,0.383
still wanna see happy death day,-0.0516,0.336,0.319,0.345
wanna see happy death day,-0.0516,0.368,0.349,0.283
hell yeah lol movie happy death day comes girls bday,-0.2023,0.383,0.392,0.225
movie pushed looks dewdew son,0.0,0.0,0.0,1.0
happy death day tayang midnight besok di via,-0.0516,0.287,0.272,0.441
happy death day review movie geeks,-0.1531,0.442,0.308,0.25
happy death day,-0.0516,0.453,0.43,0.116
friday tattoos eagles ezekiel elliott happy death day bitcoin friday unesco,-0.0516,0.235,0.223,0.542
nah today national,-0.1027,0.412,0.0,0.588
think imma gas go see happy death day,-0.0516,0.287,0.272,0.441
happy death day friday october,-0.0516,0.368,0.349,0.283
going see happy death day tonight,-0.0516,0.336,0.319,0.345
wanna go see happy death day,-0.0516,0.336,0.319,0.345
happy death day trending,-0.0516,0.406,0.385,0.208
take go see happy death day looks like good,0.6369,0.217,0.506,0.278
happy death day,-0.0516,0.453,0.43,0.116
wanna go see happy death day nobody go see love,0.6124,0.207,0.42,0.372
wanna see happy death day,-0.0516,0.368,0.349,0.283
happy death day,-0.0516,0.453,0.43,0.116
haunted house happy death day,-0.5106,0.551,0.291,0.157
wants go see happy death day w,-0.0516,0.336,0.319,0.345
weekend box earns thursday previews,0.0,0.0,0.0,1.0
happy death day alright hype watch,0.2023,0.31,0.452,0.238
weekend box earns thursday previews thr,0.0,0.0,0.0,1.0
someone pick take go see pay,-0.1027,0.219,0.0,0.781
yessss happy death day,-0.0516,0.406,0.385,0.208
es la de sorprende hasta punto funciona su de en clave,0.0,0.0,0.0,1.0
happy death day concord mills happy death day,-0.1027,0.406,0.385,0.208
happy death day looks crazy,-0.3818,0.525,0.308,0.167
gonna see,0.0,0.0,0.0,1.0
definitely want see happy death day,0.4215,0.287,0.566,0.147
wanna see happy death day,-0.0516,0.368,0.349,0.283
really want watch happy death day,0.1672,0.313,0.446,0.241
weekend box earns thursday previews,0.0,0.0,0.0,1.0
go catch happy death day movie tonight,-0.0516,0.31,0.294,0.397
want go see happy death day,0.0258,0.328,0.42,0.252
happy death day thursday box office,-0.0516,0.336,0.319,0.345
happy death day girl relives death,-0.6249,0.538,0.255,0.207
someone go see happy death day,-0.0516,0.336,0.319,0.345
happy death day thursday,-0.0516,0.406,0.385,0.208
really trying see happy death day,0.0164,0.329,0.334,0.337
happy death day scares million thursday,-0.3818,0.485,0.285,0.231
wants see happy death day,-0.0516,0.368,0.349,0.283
happy death day scares million thursday box office,-0.3818,0.42,0.247,0.333
go see happy death day great going good,0.7783,0.21,0.575,0.215
dont go see happy death day,-0.7844,0.633,0.0,0.367
wanna see tonight,0.0,0.0,0.0,1.0
happy death day scares million thursday box office,-0.3818,0.42,0.247,0.333
yo someone go see happy death day tell killer,-0.6705,0.458,0.207,0.335
happy death day actually funny fucking rolling scenes,0.4019,0.252,0.426,0.323
happy death day,-0.0516,0.453,0.43,0.116
hoy estrena feliz de tu muerte happy death day es una slasher dirigida por christopher,-0.0516,0.189,0.18,0.631
wanna see boo happy death day,-0.0516,0.336,0.319,0.345
lol happy death day,0.3818,0.342,0.57,0.088
someone take go see happy death day plz,0.0258,0.281,0.36,0.36
happy death day full movie watch online free via,0.4767,0.231,0.414,0.355
absolutely wanna go see happy death day,-0.0516,0.31,0.294,0.397
wanna gonna see happy death day movie,-0.0516,0.31,0.294,0.397
damn even go see happy death day tonight get late really wanted go watch friday,-0.4404,0.296,0.166,0.538
hearing people trust saying happy death day actually pretty fun bad,0.7269,0.286,0.521,0.193
oxy moronic nofx,-0.5719,0.649,0.0,0.351
looks like jimmy going see happy death day oh well,0.5267,0.214,0.456,0.33
going see happy death day,-0.0516,0.368,0.349,0.283
guess free bday,0.5106,0.0,0.623,0.377
definitely goin see happy death day get tonight,0.3612,0.255,0.418,0.327
una jornada de debo ir al del centro ver happy death day cruzar todo rancagua para ver condorito sage,-0.0516,0.159,0.15,0.691
happy death day scares million thursday box office,-0.3818,0.42,0.247,0.333
wanna see flatliners happy death day,-0.0516,0.336,0.319,0.345
go check happy death day,-0.0516,0.368,0.349,0.283
happy death day thursday box office,-0.0516,0.336,0.319,0.345
weekend box earns thursday previews,0.0,0.0,0.0,1.0
happy death day,-0.0516,0.453,0.43,0.116
kinda wanna see happy death day,-0.1189,0.344,0.303,0.353
catching check review,0.0,0.0,0.0,1.0
happy death day review,-0.0516,0.406,0.385,0.208
happy death day seems like good,0.6369,0.26,0.607,0.133
wanna see happy death day tonight,-0.0516,0.336,0.319,0.345
happy death day,-0.0516,0.453,0.43,0.116
combined,0.0,0.0,0.0,1.0
wanna see happy death day,-0.0516,0.368,0.349,0.283
happy death day thursday box office,-0.0516,0.336,0.319,0.345
yeah happy death day,0.25,0.361,0.546,0.093
happy death day everyone,-0.0516,0.406,0.385,0.208
happy death day thursday box office,-0.0516,0.336,0.319,0.345
happy death day comes today,-0.0516,0.368,0.349,0.283
contemplating whether go movies alone watch,-0.25,0.286,0.0,0.714
happy death day comes today think want go see,0.0258,0.262,0.336,0.403
happy death day equivalent unfriended vibes gives,-0.0516,0.31,0.294,0.397
review thinking catching,0.0,0.0,0.0,1.0
happy death day thursday box office,-0.0516,0.336,0.319,0.345
oh happy death day guess going,-0.0516,0.336,0.319,0.345
wanna go see happy death day,-0.0516,0.336,0.319,0.345
movies later,0.0,0.0,0.0,1.0
recauda en la noche del jueves de,0.0,0.0,0.0,1.0
want go see happy death day,0.0258,0.328,0.42,0.252
understand people pay spotify premium hear happy death day ad one time gonna death day,-0.6705,0.385,0.155,0.46
happy death day thursday box office,-0.0516,0.336,0.319,0.345
tryna see happy death day sometime,-0.0516,0.336,0.319,0.345
neutral,0.0,0.0,0.0,1.0
ohheyyouareup,0.0,0.0,0.0,1.0
ready,0.3612,0.0,1.0,0.0
liked video happy death day scary bad baby skit davidstv,-0.6249,0.48,0.294,0.226
happy death day review,-0.0516,0.406,0.385,0.208
really want go see happy death day today,0.101,0.275,0.373,0.352
wanna see happy death day,-0.0516,0.368,0.349,0.283
definitely going see happy death day tomorrow,0.3612,0.273,0.448,0.28
happy death day happy death day familiar fun,0.4404,0.363,0.498,0.14
quiero ver happy death day,-0.0516,0.368,0.349,0.283
friday finally,0.0,0.0,0.0,1.0
scares million thursday box office,-0.34,0.375,0.0,0.625
excited see happy death day films play time travel stuff always gets,0.5574,0.191,0.417,0.392
figured killer happy death day,-0.6705,0.59,0.266,0.144
gonna see happy death day today,-0.0516,0.336,0.319,0.345
gonna go see happy death day need feel kind emotion lol,0.7184,0.188,0.476,0.337
happy death day get tickets,-0.0516,0.368,0.349,0.283
happy death day get tickets,-0.0516,0.368,0.349,0.283
happy death day get tickets,-0.0516,0.368,0.349,0.283
happy death day,-0.0516,0.453,0.43,0.116
happy death day get tickets,-0.0516,0.368,0.349,0.283
happy death day get tickets,-0.0516,0.368,0.349,0.283
friday tryna go see happy death day,-0.0516,0.31,0.294,0.397
happy death day get tickets,-0.0516,0.368,0.349,0.283
happy death day tayang midnight besok di via,-0.0516,0.287,0.272,0.441
happy death day get tickets,-0.0516,0.368,0.349,0.283
gone see happy death day today know bc friday one go,-0.0516,0.235,0.223,0.542
wanna go see happy death day,-0.0516,0.336,0.319,0.345
rt wanna see happy death day tf,-0.0516,0.31,0.294,0.397
gonna watch happy death day tonight,-0.0516,0.336,0.319,0.345
happy death day,-0.0516,0.453,0.43,0.116
happy death day tn,-0.0516,0.406,0.385,0.208
happy death day,-0.0516,0.453,0.43,0.116
watching happy death day gonna go swim,-0.0516,0.31,0.294,0.397
happy death day critic,-0.3182,0.561,0.346,0.093
feel like seen happy death day preview much shows already know wtf happens movie,-0.3612,0.322,0.259,0.418
bitch really wanna see happy death day,-0.577,0.492,0.253,0.255
ever find dying day case happy death day allow,0.1779,0.252,0.361,0.387
somebody come see happy death day next weekend,-0.0516,0.287,0.272,0.441
happy death day,-0.0516,0.453,0.43,0.116
happy death day tayang midnight besok di via,-0.0516,0.287,0.272,0.441
happy death day better good,0.6808,0.271,0.66,0.069
liked video midnight screenings happy death day,0.3818,0.271,0.451,0.278
happy death day,-0.0516,0.453,0.43,0.116
happy death day recommend,0.3182,0.351,0.559,0.09
happy death day movie tonight,-0.0516,0.368,0.349,0.283
needa see happy death day,-0.0516,0.368,0.349,0.283
wan go see happy death day,-0.0516,0.336,0.319,0.345
really wanna go see happy death day,-0.0516,0.31,0.294,0.397
wanna see happy death day tonight,-0.0516,0.336,0.319,0.345
snowman movie might happy death day,-0.0516,0.336,0.319,0.345
happy death day movie look bad,-0.5719,0.525,0.262,0.213
wanna go see happy death day nigga wanna lame,-0.4588,0.409,0.226,0.366
actually really want see happy death day,0.1672,0.29,0.413,0.297
happy death day sounds like move tonight,0.3182,0.277,0.44,0.284
creo que es el estreno llamativo de la semana,0.0,0.0,0.0,1.0
happy death day,-0.0516,0.453,0.43,0.116
gotta see happy death day weekend,-0.0516,0.336,0.319,0.345
really tryna slide movies tonight watch new happy death day,-0.0516,0.25,0.237,0.513
need somebody go movies tonight trynna see happy death day,-0.0516,0.25,0.237,0.513
light get tickets happy death day theaters,-0.0516,0.31,0.294,0.397
october wonderful time year check,0.5719,0.0,0.481,0.519
happy death day comes tonight wanna go see,-0.0516,0.287,0.272,0.441
happy friday anyone else going go see happy death day,0.5423,0.213,0.404,0.383
happy death day good af,0.4019,0.312,0.528,0.16
happy death day,-0.0516,0.453,0.43,0.116
friday new horror release happy death day kiss,-0.2732,0.42,0.359,0.221
gonna see happy death day,-0.0516,0.368,0.349,0.283
happy death day,-0.0516,0.453,0.43,0.116
happy death day,-0.0516,0.453,0.43,0.116
lowkey wanna see happy death day,-0.0516,0.336,0.319,0.345
wanna go see happy death day weekend,-0.0516,0.31,0.294,0.397
happy death day,-0.0516,0.453,0.43,0.116
happy happy death day,0.5423,0.317,0.602,0.081
definitely go movies see happy death day,0.3612,0.273,0.448,0.28
happy death day,-0.0516,0.453,0.43,0.116
know happy death day looks corny wanna see idc,-0.0516,0.267,0.253,0.479
friday check box office release happy death day looks like mix comedy,0.5859,0.189,0.422,0.388
liked video happy death day movie review,0.3818,0.271,0.451,0.278
happy death day pretty fun,0.743,0.258,0.675,0.066
happy death day ok ending shocked tf outta,-0.0772,0.385,0.366,0.248
wanna go see happy death day movie hella trippy,-0.0516,0.267,0.253,0.479
repetition groundhog wit,0.0,0.0,0.0,1.0
thirsty go see happy death day,-0.0516,0.336,0.319,0.345
happy death day still friday treat,0.3612,0.293,0.481,0.226
weekend preview episode,0.0,0.0,0.0,1.0
anyone else going see happy death day friday,-0.0516,0.287,0.272,0.441
happy death day,-0.0516,0.453,0.43,0.116
happy death day comes aweeee man,-0.0516,0.336,0.319,0.345
wanna go see happy death day,-0.0516,0.336,0.319,0.345
going see happy death day,-0.0516,0.368,0.349,0.283
trynna go see happy death day,-0.0516,0.336,0.319,0.345
friday tattoos eagles ezekiel elliott happy death day bitcoin friday,-0.0516,0.25,0.237,0.513
creo que ha si la si la divertida que llevo vista hasta,0.34,0.0,0.179,0.821
think gonna go see happy death day,-0.0516,0.31,0.294,0.397
happy death day,-0.0516,0.453,0.43,0.116
happy friday happy death day,0.5423,0.293,0.556,0.15
go see happy death day,-0.0516,0.368,0.349,0.283
happy death day,-0.0516,0.453,0.43,0.116
title said terrible title gonna reviews surprised give try,-0.296,0.258,0.158,0.583
happy death day looks wack,-0.0516,0.368,0.349,0.283
friday,0.0,0.0,0.0,1.0
