0,Compound_Score,Negative_Score,Positive_Score,Neutral_Score
happy death day pretty going ruin fav part talked shit girl crocs,-0.34,0.415,0.364,0.221
saw ground hog day place really bad bored go see,-0.7328,0.435,0.0,0.565
happy death day,-0.0516,0.453,0.43,0.116
wanna smoke wood go see happy death day,-0.0516,0.287,0.272,0.441
wish someone go see happy death day,0.3612,0.273,0.448,0.28
queen,0.0,0.0,0.0,1.0
exhilarating movie happy birthday,0.7506,0.0,0.762,0.238
happy death day color surprised,0.1779,0.339,0.487,0.174
effing horror movies definitely made return,-0.2568,0.364,0.27,0.365
watched happy death day,-0.0516,0.406,0.385,0.208
happy death day trailers clips movieclips trailer,-0.0516,0.31,0.294,0.397
without watching horror,0.4585,0.0,0.6,0.4
rowan watching happy death day amc theater,-0.0516,0.31,0.294,0.397
watching happy death day silvercity cinemas,-0.0516,0.336,0.319,0.345
happy death day matt tonight lmao,0.5719,0.269,0.524,0.207
everybody mama came see happy death day,-0.0516,0.31,0.294,0.397
vou ver happy death day,-0.0516,0.368,0.349,0.283
happy death day soooo,-0.0516,0.406,0.385,0.208
trailer de happy death day,-0.0516,0.368,0.349,0.283
wanna go see happy death day,-0.0516,0.336,0.319,0.345
kinda wanna go see kinda wanna sleep,0.0,0.0,0.0,1.0
happy death day,-0.0516,0.453,0.43,0.116
box happy death day poised exceed initial estimates million weekend,0.2023,0.235,0.343,0.422
watched happy death day proud guessing killer,-0.34,0.456,0.378,0.167
presents happy death day,-0.0516,0.406,0.385,0.208
watched happy death day killer big ass promise never complain mine ever,-0.6798,0.453,0.314,0.232
happy death day actually good movie lol,0.6705,0.239,0.577,0.184
happy death day director already specific plans sequel would,-0.0516,0.267,0.253,0.479
might see happy death day tomorrow,-0.0516,0.336,0.319,0.345
happy death day tonight,-0.0516,0.406,0.385,0.208
literally theatres watch,0.0,0.0,0.0,1.0
happy death day way better,0.4019,0.312,0.528,0.16
bout see happy death day going able sleep week,-0.0516,0.267,0.253,0.479
saw happy death day soooo lame,-0.4588,0.5,0.276,0.224
wanna see happy death day,-0.0516,0.368,0.349,0.283
happy death day sounds corny,-0.0516,0.368,0.349,0.283
got back happy death day really good,0.4576,0.264,0.466,0.27
watching,0.0,0.0,0.0,1.0
saw happy death day last night loved great,0.8316,0.199,0.597,0.204
way see happy death day,-0.0516,0.368,0.349,0.283
friends forcing see happy death day want go see,0.4939,0.229,0.476,0.294
honestly tho makeup looks good rn someone come tryna see happy death day,0.6908,0.173,0.427,0.4
liked video happy death day,0.3818,0.315,0.524,0.161
happy death day,-0.0516,0.453,0.43,0.116
watching happy death day friday feels right,-0.0516,0.31,0.294,0.397
happy death day,-0.0516,0.453,0.43,0.116
weekend already planned seeing movies great,0.6249,0.0,0.451,0.549
happy death day director already specific plans sequel would tradition harold,-0.0516,0.235,0.223,0.542
going watch happy death day,-0.0516,0.368,0.349,0.283
go see happy death day together,-0.0516,0.336,0.319,0.345
going go see weather going,0.0,0.0,0.0,1.0
watch ton kids normally go,0.0,0.0,0.0,1.0
seeing happy death day,-0.0516,0.406,0.385,0.208
happy friday bitchesss w h p w h p,0.5719,0.0,0.649,0.351
im sick seeing hearing happy death day ads,-0.5423,0.453,0.233,0.314
want watch happy death day,0.0258,0.358,0.459,0.183
aeris decided go see happy death day,-0.0516,0.31,0.294,0.397
coming someone doesnt like slasher type happy death day honestly amazing,0.6694,0.267,0.466,0.267
someone go see happy death day,-0.0516,0.336,0.319,0.345
happy death day hilariously trash,-0.0516,0.368,0.349,0.283
happy death day soooo,-0.0516,0.406,0.385,0.208
killer happy death day girl gives cupcake,-0.6705,0.516,0.233,0.252
happy death day fun pretty entertaining,0.8481,0.217,0.728,0.056
hope happy death day good,0.6808,0.271,0.66,0.069
sister outttt happy death day gets love,0.6124,0.247,0.5,0.253
happy death day playing theaters bye,0.1531,0.315,0.444,0.242
happy death day director already specific plans sequel would,-0.0516,0.267,0.253,0.479
anyone wanna see happy death day,-0.0516,0.336,0.319,0.345
want watch happy death day,0.0258,0.358,0.459,0.183
happy death day director already specific plans sequel,-0.0516,0.287,0.272,0.441
new video universal happy death day playing theaters bye,0.1531,0.253,0.357,0.39
know like inside room,0.3612,0.0,0.455,0.545
found today friday cause dang happy death day looks,-0.0516,0.267,0.253,0.479
muy raro de pero quiero ir al cine ver happy death day,-0.0516,0.222,0.21,0.568
happy death day,-0.0516,0.453,0.43,0.116
someone go see happy death day,-0.0516,0.336,0.319,0.345
happy death day happy friday,0.5423,0.293,0.556,0.15
upset happy death day cent song really played one reasons went watch,-0.0276,0.311,0.306,0.383
trynna go see happy death day,-0.0516,0.336,0.319,0.345
happy death day literally irritating movie watch ever course happy ending,0.128,0.324,0.347,0.329
sooo many teenagers happy death day,-0.0516,0.336,0.319,0.345
please watch happy death day gimme take,0.2732,0.281,0.432,0.288
anyone wanna go see happy death day,-0.0516,0.31,0.294,0.397
wanna see happy death day,-0.0516,0.368,0.349,0.283
check happy death day,-0.0516,0.406,0.385,0.208
happy death day actually really cute,0.4754,0.281,0.503,0.216
find better expected worthy opening,0.7003,0.0,0.659,0.341
good trailer made seem epic pretty funny scenes though,0.8402,0.0,0.6,0.4
happy death day director already specific plans sequel would,-0.0516,0.267,0.253,0.479
time friday film critic paislee house offers thoughts happy death day,-0.3182,0.339,0.209,0.452
happy death day director already specific plans sequel would,-0.0516,0.267,0.253,0.479
happy death day murdered college student relives day death order learn true,-0.7717,0.475,0.253,0.272
es viernes trece happy death day es de lo que se habla ahora,-0.0516,0.21,0.199,0.591
happy death day director already specific plans sequel would,-0.0516,0.267,0.253,0.479
glad know happy death day theaters today,0.4215,0.267,0.459,0.274
happy death day ur,-0.0516,0.406,0.385,0.208
happy death day better good,0.6808,0.271,0.66,0.069
wanna go see happy death day,-0.0516,0.336,0.319,0.345
happy death day cheers sorority girl slasher archetype,0.4404,0.248,0.433,0.318
happy death day director already specific plans sequel would,-0.0516,0.267,0.253,0.479
happy death day actually good,0.4019,0.312,0.528,0.16
texted theory happy death day based trailer right,-0.0516,0.287,0.272,0.441
zijn de kleine dingen die het even klein,-0.5994,0.358,0.0,0.642
heard someone talking going watch happy death day going laugh saw rt score,0.5267,0.184,0.344,0.472
watch happy death day friday,-0.0516,0.368,0.349,0.283
indo assistir esse happy death day pra ver se presta mesmo,-0.0516,0.235,0.223,0.542
going see happy death day whoo,-0.0516,0.336,0.319,0.345
chance whoever kinda wanna go see happy death day movie tonight,0.2023,0.222,0.324,0.455
taking group middle schoolers see happy death day probs gonna cry whole time excited,-0.2263,0.303,0.264,0.433
movies today someone happy death day sooo scared soo excited see u bei dolphin mall,-0.1779,0.297,0.266,0.437
happy death day worth going,0.1779,0.339,0.487,0.174
happy death day fun right scares may enough horror,-0.4588,0.476,0.333,0.19
happy sure come visit us see theaters,0.7184,0.0,0.545,0.455
wanna see tht movie happy death day,-0.0516,0.31,0.294,0.397
happy friday midnight market bei melrose umbrella co,0.5719,0.0,0.346,0.654
celebrating,0.5719,0.0,1.0,0.0
happy death day fun right scares may enough horror,-0.4588,0.476,0.333,0.19
someone take see happy death day,-0.0516,0.336,0.319,0.345
happy death day pretty good movie,0.7096,0.248,0.624,0.127
happy death day,-0.0516,0.453,0.43,0.116
happy death day another hit rocks another amazing review,0.5574,0.224,0.431,0.345
check first meetup scary movie happy death day,-0.5267,0.449,0.234,0.316
tryna go see happy death day,-0.0516,0.336,0.319,0.345
yay ima watch happy death day later,0.4939,0.26,0.473,0.267
wanna see cry come watch happy death day,-0.5106,0.446,0.236,0.318
day,0.0,0.0,0.0,1.0
box office blade runner happy,0.5719,0.0,0.481,0.519
somebody gotta come see happy death day,-0.0516,0.31,0.294,0.397
