username;date;retweets;favorites;text;geo;mentions;hashtags;id;permalink
NinjaTheory22;2017-10-14 19:59;0;0;"The whole reliving the same day over and over gimmick can be interesting if it is well done. Happy Death Day checks the box here.";;;;"919352095492460544";https://twitter.com/NinjaTheory22/status/919352095492460544
funnnsizedd;2017-10-14 19:59;0;0;"I’m trying to go see happy death day tonight who’s down";;;;"919352001477013504";https://twitter.com/funnnsizedd/status/919352001477013504
aIisemiIy;2017-10-14 19:59;0;38;"happy death day was such a good movie can’t wait to waste money i don’t have on it again";;;;"919351969709305856";https://twitter.com/aIisemiIy/status/919351969709305856
_mamasxx_;2017-10-14 19:59;0;0;"need a buddy to go see happy death day";;;;"919351965586309120";https://twitter.com/_mamasxx_/status/919351965586309120
JenniferPhung;2017-10-14 19:59;0;1;"Saw Happy Death Day last night ...Meh.";;;;"919351949908217857";https://twitter.com/JenniferPhung/status/919351949908217857
_B_S_W_;2017-10-14 19:59;0;0;"I wanna go see Happy Death Day tonight.";;;;"919351944480677888";https://twitter.com/_B_S_W_/status/919351944480677888
iGuru_YT;2017-10-14 19:59;0;1;"Currently Watching #HappyDeathDay NO SPOILERS WHILE WATCHING PLZ";;;#HappyDeathDay;"919351921877512192";https://twitter.com/iGuru_YT/status/919351921877512192
Rivo_FPS;2017-10-14 19:59;0;0;"Happy Death Day !";;;;"919351899295494145";https://twitter.com/Rivo_FPS/status/919351899295494145
kaelaeddie;2017-10-14 19:59;0;3;"Watched #HappyDeathDay with @KelsiChoquette @PonoVarron @_kaylablood_ and it was actually really good";;@KelsiChoquette @PonoVarron @_kaylablood_;#HappyDeathDay;"919351897927987201";https://twitter.com/kaelaeddie/status/919351897927987201
ireyes16;2017-10-14 19:59;0;1;"Can't believe I'm about to see #HappyDeathDay";;;#HappyDeathDay;"919351876914577408";https://twitter.com/ireyes16/status/919351876914577408
NanaOG1;2017-10-14 19:59;0;0;"Happy Death Day with the sister tonight.";;;;"919351875928866816";https://twitter.com/NanaOG1/status/919351875928866816
ryanoliveira101;2017-10-14 19:58;0;0;"Quickie: Happy Death Day https://www. youtube.com/watch?v=50ZgL8 49vL0&feature=share …";;;;"919351849446080512";https://twitter.com/ryanoliveira101/status/919351849446080512
JdM24_7;2017-10-14 19:58;0;0;"I called happy death day flat out...wow";;;;"919351811978522626";https://twitter.com/JdM24_7/status/919351811978522626
Cvrlton__;2017-10-14 19:58;1;0;"Trynna go see happy death day";;;;"919351797025779712";https://twitter.com/Cvrlton__/status/919351797025779712
GuapoMeech;2017-10-14 19:58;0;1;"I want to see Happy Death Day lowkey..";;;;"919351706219110400";https://twitter.com/GuapoMeech/status/919351706219110400
austxxnn;2017-10-14 19:58;0;0;"I just guessed the killer of Happy Death day right without seeing the movie in the goat";;;;"919351678649778176";https://twitter.com/austxxnn/status/919351678649778176
muellerjr;2017-10-14 19:57;0;0;"2nd movie today used my moviepass #HappyDeathDay #slasherfilm #moviepass pic.twitter.com/IJBaU1HDtN";;;#HappyDeathDay #slasherfilm #moviepass;"919351600266797061";https://twitter.com/muellerjr/status/919351600266797061
egrdz22;2017-10-14 19:57;2;1;"Dude Happy Death Day was so freaking good like best movie I’ve seen";;;;"919351514895810560";https://twitter.com/egrdz22/status/919351514895810560
eXTeeGi;2017-10-14 19:57;0;2;"I'm glad we saw Battle of the Sexes instead of Happy Death Day . It was really good!";;;;"919351389813460993";https://twitter.com/eXTeeGi/status/919351389813460993
NinjaTheory22;2017-10-14 19:57;0;0;"First is Happy Death Day the murdery remake of Bill Murray's Groundhog Day, but not really a remake.";;;;"919351386386718720";https://twitter.com/NinjaTheory22/status/919351386386718720
saqua23;2017-10-14 19:57;0;1;"Wow. I actually really enjoyed #HappyDeathDay . Walked in expecting a bad movie but I thoroughly enjoyed it!";;;#HappyDeathDay;"919351362147815424";https://twitter.com/saqua23/status/919351362147815424
Janay_cicotte;2017-10-14 19:56;0;3;"Me and my pal ella went to see Happy Death Day .... it's sold out. Why do bad things always happen to good people like fr";;;;"919351339339141120";https://twitter.com/Janay_cicotte/status/919351339339141120
drarryisreal;2017-10-14 19:56;0;0;"just got back from happy death day nd it wasnt too scary thank god. pretty sure ill sleep tonight.";;;;"919351299698814976";https://twitter.com/drarryisreal/status/919351299698814976
NicKLASnotHOLAS;2017-10-14 19:56;0;1;"After seeing #It , an #R movie, I was not shivering. After seeing #HappyDeathDay , a #PG13 movie, TWICE, BOTH times got me shivering. #Movies";;;#It #R #HappyDeathDay #PG13 #Movies;"919351261543231488";https://twitter.com/NicKLASnotHOLAS/status/919351261543231488
iamkachae;2017-10-14 19:56;0;0;"Happy death day tonight";;;;"919351256816250880";https://twitter.com/iamkachae/status/919351256816250880
Tyler_Dewayne22;2017-10-14 19:56;0;0;"So happy death day was a odd experience but funny";;;;"919351185550856192";https://twitter.com/Tyler_Dewayne22/status/919351185550856192
barelyconcealed;2017-10-14 19:56;0;7;""Who walks in heels across grass" "Male directors who've never walked in heels." @thenewarucan on #HappyDeathDay";;@thenewarucan;#HappyDeathDay;"919351178105901056";https://twitter.com/barelyconcealed/status/919351178105901056
bloodylove10;2017-10-14 19:55;0;0;"watching Happy Death Day at Westfield Sarasota Square http:// fb.me/Dpr9RxZX";;;;"919350981929861120";https://twitter.com/bloodylove10/status/919350981929861120
TroyTgood723;2017-10-14 19:55;0;0;"This movie was really good !! Y’all go out and see it ! #HappyDeathDay https:// twitter.com/universalhorro r/status/919246434808954880 …";;;#HappyDeathDay;"919350975248420866";https://twitter.com/TroyTgood723/status/919350975248420866
groom_bonnie;2017-10-14 19:55;1;1;"Why does he believe happy death day was more impressive than IT. I'm dead fr";;;;"919350947775578113";https://twitter.com/groom_bonnie/status/919350947775578113
