username;date;retweets;favorites;text;geo;mentions;hashtags;id;permalink
toki_dou;2017-10-13 10:21;0;0;"Happy Death Day が話題ですね http:// tokidou.com/574568/ Happy Death Day Is Familiar but Fun pic.twitter.com/YRQQLKvlyb";;;;"918844047350829058";https://twitter.com/toki_dou/status/918844047350829058
gadielmanuel1;2017-10-13 10:20;1;0;"Quiero ver Happy Death Day";;;;"918843988261638144";https://twitter.com/gadielmanuel1/status/918843988261638144
cassiemaiya;2017-10-13 10:20;0;1;"It's Friday the 13th, and #HappyDeathDay is finally out";;;#HappyDeathDay;"918843980510650369";https://twitter.com/cassiemaiya/status/918843980510650369
TheWrap;2017-10-13 10:20;0;5;"#HappyDeathDay Scares Up $1 Million at Thursday Box Office https:// goo.gl/Tm22xN pic.twitter.com/YjU2sb4rJe";;;#HappyDeathDay;"918843972889354241";https://twitter.com/TheWrap/status/918843972889354241
Renton127;2017-10-13 10:20;0;0;"I am so excited to see happy death day today!!! Films that play with time travel stuff always gets me excited!!!";;;;"918843964656050176";https://twitter.com/Renton127/status/918843964656050176
theLaughinPanda;2017-10-13 10:20;0;1;"Just figured out the killer from Happy Death Day just by the trailers.";;;;"918843943537823744";https://twitter.com/theLaughinPanda/status/918843943537823744
NyewechBiel;2017-10-13 10:20;0;1;"Who's Gonna see happy death Day today";;;;"918843929360941056";https://twitter.com/NyewechBiel/status/918843929360941056
Frame5Studios;2017-10-13 10:20;0;0;"Gonna go see Happy Death day tonight, because I need to feel some kind of emotion lol";;;;"918843887338209281";https://twitter.com/Frame5Studios/status/918843887338209281
Cherokee6Theatr;2017-10-13 10:20;0;0;"HAPPY DEATH DAY is NOW PLAYING! Get tickets here: http:// ow.ly/rITd30fNWEt pic.twitter.com/mtO0e9eVZj";;;;"918843848519974913";https://twitter.com/Cherokee6Theatr/status/918843848519974913
LakeWorth8;2017-10-13 10:20;0;0;"HAPPY DEATH DAY is NOW PLAYING! Get tickets here: http:// ow.ly/rITd30fNWEt pic.twitter.com/4vqyDF2YlB";;;;"918843847710593024";https://twitter.com/LakeWorth8/status/918843847710593024
MarlowCinema6;2017-10-13 10:20;0;0;"HAPPY DEATH DAY is NOW PLAYING! Get tickets here: http:// ow.ly/rITd30fNWEt pic.twitter.com/41xmLO7HnL";;;;"918843847563718657";https://twitter.com/MarlowCinema6/status/918843847563718657
irisalexus27;2017-10-13 10:20;9;5;"Happy Death Day anyone?";;;;"918843847462961152";https://twitter.com/irisalexus27/status/918843847462961152
ChartiersCinema;2017-10-13 10:20;0;0;"HAPPY DEATH DAY is NOW PLAYING! Get tickets here: http:// ow.ly/rITd30fNWEt pic.twitter.com/3dhWeTN2s7";;;;"918843847115005952";https://twitter.com/ChartiersCinema/status/918843847115005952
MainGate10;2017-10-13 10:20;0;0;"HAPPY DEATH DAY is NOW PLAYING! Get tickets here: http:// ow.ly/rITd30fNWEt pic.twitter.com/dM4lbkMdBu";;;;"918843843533041665";https://twitter.com/MainGate10/status/918843843533041665
jermaniix;2017-10-13 10:20;0;0;"it’s friday the 13th . i’m tryna go see happy death day";;;;"918843831604383744";https://twitter.com/jermaniix/status/918843831604383744
Edge12PT;2017-10-13 10:20;0;0;"HAPPY DEATH DAY is NOW PLAYING! Get tickets here: http:// ow.ly/rITd30fNWEt pic.twitter.com/70GwY5CAgr";;;;"918843811454947328";https://twitter.com/Edge12PT/status/918843811454947328
azkabakri2;2017-10-13 10:20;0;0;"Horror, Mystery, Thriller. HAPPY DEATH DAY tayang midnight besok di bioskop. http://www. 21cineplex.com.convey.pro/l/prz1Nr1 by #cinema21 via @c0nvey pic.twitter.com/3NwsymOOIB";;@c0nvey;#cinema21;"918843811199143937";https://twitter.com/azkabakri2/status/918843811199143937
Edge8PTE;2017-10-13 10:20;0;0;"HAPPY DEATH DAY is NOW PLAYING! Get tickets here: http:// ow.ly/rITd30fNWEt pic.twitter.com/KdfqAmFfpo";;;;"918843803754221573";https://twitter.com/Edge8PTE/status/918843803754221573
killinitgrande;2017-10-13 10:19;0;0;"I would’ve gone to see Happy Death Day today you know bc Friday the 13th but I have no one to go with pic.twitter.com/f3V5FxnOuM";;;;"918843756211785731";https://twitter.com/killinitgrande/status/918843756211785731
Chantellll__;2017-10-13 10:19;1;0;"I wanna go see happy death day";;;;"918843685730701317";https://twitter.com/Chantellll__/status/918843685730701317
_PrettyTatted;2017-10-13 10:19;0;0;"Same RT @GetYouAStace : I wanna see happy death day tf";;@GetYouAStace;;"918843680089427969";https://twitter.com/_PrettyTatted/status/918843680089427969
PaySlinky;2017-10-13 10:19;0;0;"Gonna watch “ Happy Death Day ” tonight";;;;"918843675102375937";https://twitter.com/PaySlinky/status/918843675102375937
RobinShane;2017-10-13 10:19;0;0;"Happy Death Day !";;;;"918843673315553281";https://twitter.com/RobinShane/status/918843673315553281
BravocjCasiano;2017-10-13 10:19;0;4;"Happy Death day tn @9 anyone?";;@9;;"918843613961998336";https://twitter.com/BravocjCasiano/status/918843613961998336
1200VeeDub;2017-10-13 10:19;0;0;"HAPPY DEATH DAY";;;;"918843598908649473";https://twitter.com/1200VeeDub/status/918843598908649473
SecondTwo_None;2017-10-13 10:19;0;0;"Watching Happy Death Day , gonna go swim after .";;;;"918843534937153536";https://twitter.com/SecondTwo_None/status/918843534937153536
peoplescrtic;2017-10-13 10:18;0;0;"Review: Happy Death Day #HappyDeathDay – the people's critic https:// thepeoplescriticblog.com/2017/10/13/rev iew-happy-death-day/ …";;;#HappyDeathDay;"918843484622045185";https://twitter.com/peoplescrtic/status/918843484622045185
stindiya;2017-10-13 10:18;1;6;"i feel like i've seen that happy death day preview so much & that it shows so much, that i already know wtf happens in the movie";;;;"918843459296989190";https://twitter.com/stindiya/status/918843459296989190
ChelwieDixonnn;2017-10-13 10:18;0;1;"bitch i really wanna see happy death day";;;;"918843449385848832";https://twitter.com/ChelwieDixonnn/status/918843449385848832
Lee_O_Smith;2017-10-13 10:18;0;0;"Do you ever find yourself dying for the day to end? Such is the case in " Happy Death Day ." Allow me to elaborate: http://www. wltx.com/entertainment/ lees-review-happy-death-day/483076320 …";;;;"918843445002764288";https://twitter.com/Lee_O_Smith/status/918843445002764288
