username;date;retweets;favorites;text;geo;mentions;hashtags;id;permalink
Legion_Palmtree;2017-10-16 19:59;0;0;"Why is the mascot for the university in Happy Death Day a baby?";;;;"920076817662464000";https://twitter.com/Legion_Palmtree/status/920076817662464000
kendall_lydick;2017-10-16 19:59;2;2;"need to see Happy Death Day";;;;"920076655745490945";https://twitter.com/kendall_lydick/status/920076655745490945
michaeljavierw;2017-10-16 19:58;0;0;"Happy Death Day es una basura";;;;"920076627064827904";https://twitter.com/michaeljavierw/status/920076627064827904
jacksonpurba;2017-10-16 19:58;0;0;"The latest Secercah Fajar! https:// paper.li/jacksonpurba/1 369094347?edition_id=e7747ba0-b2cd-11e7-af31-002590a5ba2d … #snl #happydeathday";;;#snl #happydeathday;"920076511755063296";https://twitter.com/jacksonpurba/status/920076511755063296
jeonsdimpIe;2017-10-16 19:58;0;25;"happy death day is so good, y’all be slandering anything";;;;"920076502875721728";https://twitter.com/jeonsdimpIe/status/920076502875721728
morgmorgan25;2017-10-16 19:57;0;3;"After watching happy death day and the babysitter this week. I can say they need to stop writing horribly cliche characters. SO BAD";;;;"920076175065706497";https://twitter.com/morgmorgan25/status/920076175065706497
_bling13bling_;2017-10-16 19:57;0;0;"“Why do you want to see Happy Death Day ” First of All, I was supposed to see it on Friday but it didn’t work out, so let’s go see it";;;;"920076145269149696";https://twitter.com/_bling13bling_/status/920076145269149696
adultshard;2017-10-16 19:56;0;1;"Groundhog day started the "wakes up everyday to the same day" trope. Which is what happy death day is about";;;;"920075965719441409";https://twitter.com/adultshard/status/920075965719441409
JasonNReneau;2017-10-16 19:55;0;0;"Saw Happy Death Day tonight. Felt like making a design. Not the greatest design. Looks kinda… https://www. instagram.com/p/BaU_CHdHtzA/";;;;"920075641474531328";https://twitter.com/JasonNReneau/status/920075641474531328
claudineiferrei;2017-10-16 19:55;0;0;"happy death day I want to go see this movie";;;;"920075638626836485";https://twitter.com/claudineiferrei/status/920075638626836485
BobAKABuffy;2017-10-16 19:54;0;3;"Really loved @israelbroussard who played...what's his name?! #Carter #HappyDeathDay @juliacunningham @EWlive pic.twitter.com/Auq3bOX8kL";;@israelbroussard @juliacunningham @EWlive;#Carter #HappyDeathDay;"920075429297324034";https://twitter.com/BobAKABuffy/status/920075429297324034
jfcharrys;2017-10-16 19:53;0;0;"i just watched happy death day and i really liked it";;;;"920075374687543296";https://twitter.com/jfcharrys/status/920075374687543296
MuvaCaramel;2017-10-16 19:53;0;0;"Happy Death day had me rolling when ole girl said " first of all we're KAPPAS WE DO NOT EAT CUPCAKES " I was like damn bitch";;;;"920075250003468288";https://twitter.com/MuvaCaramel/status/920075250003468288
BabyyJayy01;2017-10-16 19:53;4;5;"I actually want to go see happy death day .";;;;"920075242348744704";https://twitter.com/BabyyJayy01/status/920075242348744704
Thirstykirstii;2017-10-16 19:53;2;4;"I'm trying to see Happy Death Day still";;;;"920075192457506816";https://twitter.com/Thirstykirstii/status/920075192457506816
kvnrvr_;2017-10-16 19:52;0;1;"#HappyDeathDay";;;#HappyDeathDay;"920074938194825221";https://twitter.com/kvnrvr_/status/920074938194825221
chiefkeath_;2017-10-16 19:52;0;0;"I wanna watch happy death day";;;;"920074890996219904";https://twitter.com/chiefkeath_/status/920074890996219904
Mjustin88;2017-10-16 19:51;0;0;"I feast on spoilers... last night i even used my phone to find out who was the killer in Happy Death Day during the movie Lol";;;;"920074748586901504";https://twitter.com/Mjustin88/status/920074748586901504
shanieshanshan;2017-10-16 19:51;0;3;"someone watch Happy Death Day wid me tomorrow pls";;;;"920074714680197121";https://twitter.com/shanieshanshan/status/920074714680197121
mattlegarreta;2017-10-16 19:50;0;0;"So #HappyDeathDay is a really bad movie. Even with low expectations, I left the theater mostly confused and annoyed.";;;#HappyDeathDay;"920074498073755648";https://twitter.com/mattlegarreta/status/920074498073755648
mcxreedus;2017-10-16 19:50;0;0;"@jessica_rothe omg i see u in Happy Death Day and I think I'm little lesbian because you are so beautiful and I'm in love LOL";;@jessica_rothe;;"920074491367231489";https://twitter.com/mcxreedus/status/920074491367231489
popternative;2017-10-16 19:49;12;18;"Congrats to @raylynn93 and the cast and crew of @UniversalHorror on being #1 at the box office this weekend! http:// bit.ly/2wU0k8C pic.twitter.com/vJbLOe8jpg";;@raylynn93 @UniversalHorror;#1;"920074270083915776";https://twitter.com/popternative/status/920074270083915776
nmiguelrn;2017-10-16 19:48;0;2;"Quando o ' Happy Death Day ' consegue ser mais assustador do 'It'.";;;;"920074096142114823";https://twitter.com/nmiguelrn/status/920074096142114823
Jose_Caicedo;2017-10-16 19:48;0;0;"El sábado vi " Happy death day " y bueno esperaba mas!!";;;;"920074051141472256";https://twitter.com/Jose_Caicedo/status/920074051141472256
_gisellebarajas;2017-10-16 19:48;10;4;"I really want to go see Happy Death Day";;;;"920073980186320896";https://twitter.com/_gisellebarajas/status/920073980186320896
mscrofanos;2017-10-16 19:47;0;0;"Happy death Day filme mais divertido do ano junto com it";;;;"920073778742349825";https://twitter.com/mscrofanos/status/920073778742349825
ygymkm;2017-10-16 19:47;0;12;"2 seconds into happy death day and i’m alreadybgtg";;;;"920073682801905667";https://twitter.com/ygymkm/status/920073682801905667
BizarroDoom;2017-10-16 19:47;0;0;"What a difference a day makes in HAPPY DEATH DAY ! https:// moviemarchto100.wordpress.com/2017/10/16/rev iew-happy-death-day/ … pic.twitter.com/gpQOC4xQGH";;;;"920073635473133568";https://twitter.com/BizarroDoom/status/920073635473133568
dgrone78;2017-10-16 19:46;0;0;"The power of @hardwick & @nerdist strikes again: Checking out @blumhouse #HappyDeathDay";;@hardwick @nerdist @blumhouse;#HappyDeathDay;"920073504468303872";https://twitter.com/dgrone78/status/920073504468303872
Jasminaaang18;2017-10-16 19:46;0;1;"On OCTOBER 18, find your killer... or die trying. #HappyDeathDay";;;#HappyDeathDay;"920073438705811457";https://twitter.com/Jasminaaang18/status/920073438705811457
emily_gass;2017-10-16 19:46;0;9;"who wants to go to happy death day with meeeee?";;;;"920073396267945985";https://twitter.com/emily_gass/status/920073396267945985
Montanaaa_;2017-10-16 19:45;0;1;"My mama finna take me to see Happy Death Day";;;;"920073249924534272";https://twitter.com/Montanaaa_/status/920073249924534272
dnceIines;2017-10-16 19:45;0;4;"i’m watching happy death day let’s see how this goes!";;;;"920073181930704898";https://twitter.com/dnceIines/status/920073181930704898
Ghuyer;2017-10-16 19:44;0;0;"I rated Happy Death Day 7/10 on IMDb. Learn more and add it to your Watchlist - http://www. imdb.com/title/tt530832 2/?ref_=prss_rt …";;;;"920073048652435456";https://twitter.com/Ghuyer/status/920073048652435456
KENXJOSEPH;2017-10-16 19:44;0;0;"Boycott Happy Death Day simply because it looks fucking trash";;;;"920072981740707840";https://twitter.com/KENXJOSEPH/status/920072981740707840
l0lalec;2017-10-16 19:44;0;0;"Happy Death Day y’all ~ go watch it";;;;"920072923301388288";https://twitter.com/l0lalec/status/920072923301388288
vivienkyline;2017-10-16 19:44;0;1;"i just watched Happy Death Day and oMg what a plot twist";;;;"920072888790765568";https://twitter.com/vivienkyline/status/920072888790765568
marcsimpson97;2017-10-16 19:44;0;3;"happy death day looks magic hahaha";;;;"920072866095419392";https://twitter.com/marcsimpson97/status/920072866095419392
MichaelAMartin;2017-10-16 19:43;0;1;"The things I subject myself to in order to hang with Madison... — watching Happy Death Day at Harkins Mountain... http:// fb.me/6A5zAaWB7";;;;"920072835116122112";https://twitter.com/MichaelAMartin/status/920072835116122112
KinanoNanina;2017-10-16 19:43;0;1;"Checkout latest News post : Happy Death Day ' Scares Off 'Blade Runner' at the Box Office - http:// NBCNews.com http:// ift.tt/2ysyguU";;;;"920072696062464000";https://twitter.com/KinanoNanina/status/920072696062464000
phantomthread;2017-10-16 19:43;0;4;"I lied I'm gonna see happy death day tomorrow instead of the florida project cuz i'm gonna save the florida project for when lucy comes up";;;;"920072663179104256";https://twitter.com/phantomthread/status/920072663179104256
JavierSpanic;2017-10-16 19:43;0;0;"Happy Death Day Official Trailer #1 (2017) Horror Movie HD https:// youtu.be/wiPD9X43knU vía @YouTube Y sigue creciendo en taquilla....";;@YouTube;#1;"920072646003367937";https://twitter.com/JavierSpanic/status/920072646003367937
imanishackee;2017-10-16 19:42;0;0;"Happy Death Day ???? https:// twitter.com/glassofremy/st atus/920072395490242560 …";;;;"920072537345753088";https://twitter.com/imanishackee/status/920072537345753088
Rude_AssTaj;2017-10-16 19:41;0;0;"Happy death day was actually a smooth movie";;;;"920072281933705216";https://twitter.com/Rude_AssTaj/status/920072281933705216
Sean_W2;2017-10-16 19:41;0;0;"So far we've had Edge of Tomorrow(action), Happy Death Day (Horror), and og Groundhog Day(Comedy) What's next, I wonder?!? https:// twitter.com/OnePerfectShot /status/919988851715858432 …";;;;"920072248328884224";https://twitter.com/Sean_W2/status/920072248328884224
itsjaymami;2017-10-16 19:41;0;4;"#HappyDeathDay was such a good movie !!!";;;#HappyDeathDay;"920072154296864773";https://twitter.com/itsjaymami/status/920072154296864773
