username;date;retweets;favorites;text;geo;mentions;hashtags;id;permalink
MalnurturedSnay;2017-10-18 19:59;0;1;"In theaters for Happy Death Day";;;;"920801637723119616";https://twitter.com/MalnurturedSnay/status/920801637723119616
mikeburnswho;2017-10-18 19:58;0;0;"I got to see #HappyDeathDay Monday night with @darciedarko & clockworkblack89 at… https://www. instagram.com/p/BaaJ1F8DxBX/";;@darciedarko;#HappyDeathDay;"920801339772362752";https://twitter.com/mikeburnswho/status/920801339772362752
bccinema;2017-10-18 19:58;0;0;"Dark Comedy Lovers this one is for you. Happy Death Day Tickets for Tauranga available here ... http:// fb.me/8HJILBsCU";;;;"920801310739374080";https://twitter.com/bccinema/status/920801310739374080
BrSC8;2017-10-18 19:57;0;0;"Hoy toca @UniversalHorror pic.twitter.com/hS1X24EJq2";;@UniversalHorror;;"920801160457367552";https://twitter.com/BrSC8/status/920801160457367552
N_Nasty18;2017-10-18 19:56;9;0;"I wanna see “ Happy Death Day ” already";;;;"920800903254257664";https://twitter.com/N_Nasty18/status/920800903254257664
eric_x13;2017-10-18 19:56;0;1;"Box office narratives are almost entirely made up, but here's one thing to look at. BR cost 150M / made 65M. Happy Death Day , 5M/ 29M.";;;;"920800884518301696";https://twitter.com/eric_x13/status/920800884518301696
alfanobjbj;2017-10-18 19:56;0;0;"I liked a @YouTube video http:// youtu.be/IZIyDQ83Nnc?a HAPPY DEATH DAY (2017) Ending Explained";;@YouTube;;"920800776120803329";https://twitter.com/alfanobjbj/status/920800776120803329
richfelix_;2017-10-18 19:55;0;0;"alright guys we’re gonna watch happy death day brb gonna give you a 10/10 review";;;;"920800659082952704";https://twitter.com/richfelix_/status/920800659082952704
TODDCastPodcast;2017-10-18 19:55;0;1;"Heard this wk's @Penthouse604 powered "Todd's Trolls" yet? #Letterman #LAGuns & #HappyDeathDay get dragged: http:// ow.ly/oCXy30fOSrC pic.twitter.com/nNuLDnSxws";;@Penthouse604;#Letterman #LAGuns #HappyDeathDay;"920800429939703809";https://twitter.com/TODDCastPodcast/status/920800429939703809
smitacek18;2017-10-18 19:53;3;3;"I’m trying to see happy death day and go to the pumpkin patch this weekend";;;;"920800146576752640";https://twitter.com/smitacek18/status/920800146576752640
msbutah;2017-10-18 19:53;0;9;"Gonna go see Happy Death Day and bought the luxury seats because if I’m gonna laugh at Spoopy Groundhog Day I’m doing it in comfort.";;;;"920800124208496640";https://twitter.com/msbutah/status/920800124208496640
MikeJamesLake;2017-10-18 19:52;0;0;"Seeing HAPPY DEATH DAY , because eff it, nothing better to do.";;;;"920799880968159232";https://twitter.com/MikeJamesLake/status/920799880968159232
MohamedElnems07;2017-10-18 19:52;0;0;"Happy Death Day";;;;"920799802668982274";https://twitter.com/MohamedElnems07/status/920799802668982274
eric_x13;2017-10-18 19:52;0;1;"Last weekened Blade Runner's #1 was widely seen as a terrible omen. This weekend Happy Death Day took that #1 spot. What that's mean?";;;#1 #1;"920799776525795330";https://twitter.com/eric_x13/status/920799776525795330
_0423x_;2017-10-18 19:51;2;1;"& happy death day !!! https:// twitter.com/_stepheenee/st atus/920799104896090113 …";;;;"920799440205627392";https://twitter.com/_0423x_/status/920799440205627392
killa_Camarah;2017-10-18 19:50;0;0;"I just realized happy death day was out";;;;"920799249318555648";https://twitter.com/killa_Camarah/status/920799249318555648
carlochim;2017-10-18 19:50;0;4;"Próxima #CríticaRápida Link na minha bio! #AMorteTeDáParabéns #HappyDeathDay #DicasDeFilmes #CarloChim pic.twitter.com/JOOe1bqNUI";;;#Cr #AMorteTeD #HappyDeathDay #DicasDeFilmes #CarloChim;"920799235942920193";https://twitter.com/carlochim/status/920799235942920193
KTunnski;2017-10-18 19:49;0;2;"I liked it a lot, I would give it a sick-groundhogs-day-reference out of 10. #HappyDeathDay #GroundhogDay https:// twitter.com/ktunnski/statu s/920748968694312960 …";;;#HappyDeathDay #GroundhogDay;"920799130976337920";https://twitter.com/KTunnski/status/920799130976337920
articfoxj;2017-10-18 19:49;0;0;"I added a video to a @YouTube playlist http:// youtu.be/IZIyDQ83Nnc?a HAPPY DEATH DAY (2017) Ending Explained";;@YouTube;;"920798917045796865";https://twitter.com/articfoxj/status/920798917045796865
franzcito2015;2017-10-18 19:48;0;0;"Me gustó un video de @YouTube http:// youtu.be/ce_hc_5Cn3M?a La Impactante Historia Oculta en Happy Death Day -Eterno Retorno";;@YouTube;;"920798751836352514";https://twitter.com/franzcito2015/status/920798751836352514
toofars;2017-10-18 19:47;0;5;"oomfs... where can I watch happy death day for free....";;;;"920798508038307840";https://twitter.com/toofars/status/920798508038307840
JaredBuckendahl;2017-10-18 19:47;1;2;"A new RIDE HOME is up! Cody & Seth take on the teen birthday slasher #HappyDeathDay https:// m.youtube.com/watch?t=1s&v=_ U_yxV0oDrs … #movie #review #film #subscribe";;;#HappyDeathDay #movie #review #film #subscribe;"920798423665668097";https://twitter.com/JaredBuckendahl/status/920798423665668097
jacofreak123a;2017-10-18 19:46;0;0;"I liked a @YouTube video http:// youtu.be/IZIyDQ83Nnc?a HAPPY DEATH DAY (2017) Ending Explained";;@YouTube;;"920798212067168256";https://twitter.com/jacofreak123a/status/920798212067168256
aazyxjsxx;2017-10-18 19:45;0;0;"seriously if i were to choose what to watch this weekend, I'd go for happy death day than foreigner, after reading some reviews";;;;"920798111546478592";https://twitter.com/aazyxjsxx/status/920798111546478592
KBlack2595;2017-10-18 19:44;0;0;"I'm at AMC Orange 30 - @amctheatres for Happy Death Day in Orange, CA https://www. swarmapp.com/c/2HdUukeFxCG";;@amctheatres;;"920797642623291392";https://twitter.com/KBlack2595/status/920797642623291392
syidil;2017-10-18 19:43;0;0;"Baru saja mengubah ringtone hape jadi ringtone nya Tree #HappyDeathDay";;;#HappyDeathDay;"920797598155390976";https://twitter.com/syidil/status/920797598155390976
strangerbby;2017-10-18 19:43;0;1;"I Know they lying calling that movie happy death day the #1 movie in America pic.twitter.com/7tdBqJWhk8";;;#1;"920797581977952256";https://twitter.com/strangerbby/status/920797581977952256
tk_juice;2017-10-18 19:43;0;0;"Hi, @2gay2lift That killer's mask kinda looks like you to me. It's because I thought his hoodie was long hair. Thank you. #HappyDeathDay pic.twitter.com/gLBH3mRy0R";;@2gay2lift;#HappyDeathDay;"920797474587009024";https://twitter.com/tk_juice/status/920797474587009024
horrortownusa;2017-10-18 19:43;1;3;"We talk Happy Death Day : https:// youtu.be/Zi-7cvtrIDQ pic.twitter.com/yjw923xi7D";;;;"920797465984491521";https://twitter.com/horrortownusa/status/920797465984491521
MattTomerlin;2017-10-18 19:42;0;1;"Seated for HAPPY DEATH DAY . Attempting to contain my excitement.";;;;"920797308836388865";https://twitter.com/MattTomerlin/status/920797308836388865
JessicaFilipa7;2017-10-18 19:42;1;0;"quero bue ir ver o happy death day";;;;"920797272085901312";https://twitter.com/JessicaFilipa7/status/920797272085901312
OkFilmCritics;2017-10-18 19:42;0;0;""Groundhog’s Paradise": Joe O'Shansky reviews HAPPY DEATH DAY for @TheTulsaVoice . @joshansky @UniversalHorror http://www. thetulsavoice.com/October-B-2017 /Groundhogs-paradise/ … pic.twitter.com/AXxbTtswIB";;@TheTulsaVoice @joshansky @UniversalHorror;;"920797220135305216";https://twitter.com/OkFilmCritics/status/920797220135305216
BrandonSanch94;2017-10-18 19:41;0;0;"But I also wanna go see happy death day at the drive-in";;;;"920797038664486913";https://twitter.com/BrandonSanch94/status/920797038664486913
andzchelababq41;2017-10-18 19:41;0;0;"Happy Death Day scares up $26 million at box office";;;;"920796987330400256";https://twitter.com/andzchelababq41/status/920796987330400256
Swiftimpala;2017-10-18 19:40;0;4;"Just saw #HappyDeathDay It was a fun movie!";;;#HappyDeathDay;"920796811861811200";https://twitter.com/Swiftimpala/status/920796811861811200
sawsoldier;2017-10-18 19:40;0;0;"This movie will make your partner scream. Bring ear plugs but they might fall out from laughing.";;;;"920796807784841216";https://twitter.com/sawsoldier/status/920796807784841216
c_johns;2017-10-18 19:40;0;0;"Happy Death Day is very fun!";;;;"920796766034837504";https://twitter.com/c_johns/status/920796766034837504
NotliAiran;2017-10-18 19:38;0;0;"assistindo Happy Death Day em Arcoplex Via Catarina http:// fb.me/M2AFAYOO";;;;"920796314006208512";https://twitter.com/NotliAiran/status/920796314006208512
aleighasamp;2017-10-18 19:37;8;11;"i wanna go see happy death day";;;;"920796097026473984";https://twitter.com/aleighasamp/status/920796097026473984
AshleyKlinko;2017-10-18 19:36;0;0;"#HappyDeathDay October 18th";;;#HappyDeathDay;"920795799088279553";https://twitter.com/AshleyKlinko/status/920795799088279553
Enigma32;2017-10-18 19:35;0;0;"#HappyDeathDay was such a fun movie! Loved it!";;;#HappyDeathDay;"920795530380247041";https://twitter.com/Enigma32/status/920795530380247041
rockoutloud127;2017-10-18 19:35;0;0;"Me ha gustado un vídeo de @YouTube ( http:// youtu.be/_QhmYdw-Kzo?a - ¿Vivimos la misma Vida una y otra vez? Happy Death Day -Eterno";;@YouTube;;"920795396909146113";https://twitter.com/rockoutloud127/status/920795396909146113
_jgsanjuan;2017-10-18 19:34;0;8;"happy death day bukas ples";;;;"920795375878803456";https://twitter.com/_jgsanjuan/status/920795375878803456
thefilmpoll;2017-10-18 19:33;1;0;"Which #film will top this weekend's #boxoffice ? #Boo2 #TylerPerry #Geostorm #HappyDeathDay #blumhouse #TheSnowman #MichaelFassbender #poll";;;#film #boxoffice #Boo2 #TylerPerry #Geostorm #HappyDeathDay #blumhouse #TheSnowman #MichaelFassbender #poll;"920795117497204736";https://twitter.com/thefilmpoll/status/920795117497204736
JimmFORCE;2017-10-18 19:33;1;6;"NEW VIDEO Happy Death Day Review https://www. youtube.com/watch?v=T6KwWn Q5Ljk&feature=share …";;;;"920794971392786434";https://twitter.com/JimmFORCE/status/920794971392786434
leoopedro69;2017-10-18 19:33;0;1;"happy death day , vão ao cinema ver, está muitoooooo fixe este filme";;;;"920794909539307520";https://twitter.com/leoopedro69/status/920794909539307520
